speaker	speech	speaker_std
BACKGROUND	Reunión de embajador Denis Jett, Marino Costa y Vladimiro Montesinos. (del 20 de mayo de 1998).El Ministro de Salud, Marino Costa, ofrece explicaciones por la difusión en Panamericana Televisión de un documental sobre la visita del general Barry McCaffrey buscando superar el llamado malentendido y proyectar una nueva etapa de cooperación. VMT toma la palabra para sostener que la lucha contra el narcotráfico mejorará mucho si se diseña un sistema de conexión electrónica de las bases de datos del Estado con el SIN. El embajador contesta con monosílabos, marcando su distancia con el planteamiento. Finalmente, VMT niega las acusaciones de viola ción de DD.HH. de parte del SIN.	BACKGROUND
BACKGROUND	[Inicio del audio N.° 895.]	BACKGROUND
BACKGROUND	[El señor Costa Bauer da la bienvenida al embajador.]	BACKGROUND
El señor Marino Costa	Dennis.	COSTA
El señor Dennis Jett	Hola.	DENNIS
El señor Marino Costa	¿Cómo está?	COSTA
El señor Dennis Jett	Bien, bien.	DENNIS
El señor Marino Costa	Asiento, por favor.	COSTA
BACKGROUND	[Hace su ingreso a la sala el señor Montesinos Torres.]	BACKGROUND
El señor Vladimiro Montesinos	Señor embajador.	MONTESINOS
El señor Dennis Jett	Qué tal. Gusto en verlo.	DENNIS
El señor Marino Costa	Asiento, Dennis. ¿Te ofrezco algo de tomar?	COSTA
El señor Dennis Jett.	Ah.	DENNIS
El señor Marino Costa	Perdón una (?).	COSTA
El señor Vladimiro Montesinos	Está con frío, señor embajador.	MONTESINOS
El señor Dennis Jett	Sí, sí.	DENNIS
El señor Vladimiro Montesinos	¿Ah?	MONTESINOS
El señor Dennis Jett	Hace frío.	DENNIS
El señor Vladimiro Montesinos	Mucho frío.	MONTESINOS
BACKGROUND	[El señor Costa Bauer va y pide algo de tomar.]	BACKGROUND
El señor Marino Costa	A ver si nos invitan algo de tomar.	COSTA
El señor Dennis Jett	(?)	DENNIS
El señor Vladimiro Montesinos	Muy bien, embajador.	MONTESINOS
El señor Dennis Jett	¿Sí?	DENNIS
El señor Vladimiro Montesinos	Tomar interés, porque creo que no (?).	MONTESINOS
El señor Dennis Jett	(?) los periódicos en el mundo.	DENNIS
El señor Marino Costa	No, no, no conozco.	COSTA
El señor Vladimiro Montesinos	Pero uno se (?) qué cosa, señor embajador, cor. una idea (?) historia (?)	MONTESINOS
BACKGROUND	[Ingresa el mozo, hacen sus pedidos.]	BACKGROUND
El señor Vladimiro Montesinos	Está ya con preconceptos de criterios y cuando uno mira se encuentra con una realidad que no corresponde a lo que uno se imagina, ¿no? Por ejemplo, nosotros en Atenas (?) esas cosas de los griegos y se encuentra que solamente son ruinas (?) Siempre reconoce de una manera que es importante, porque amplia un poco la visión de uno y…	MONTESINOS
El señor Marino Costa	Dennis, yo te agradezco mucho la gentileza de haber venido hasta acá.	COSTA
El señor Vladimiro Montesinos	Yo de igual manera, señor embajador.	MONTESINOS
