"speaker","speech","speaker_std"
"BACKGROUND","﻿Reunión de Julio Vera Abad y Vladimiro Montesinos. (del 20 de enero de 1998). A pesar del rótulo, no es el hijo, Julio Vera Cutiérrez, sino el padre, el que aparece en la conersación. VMTy el empresario Julio Vera Abad conversan sobre la posible venta de ATV a la Caja de Pensiones Militar y Policial. Vera expresa su interés en la operación,fija su precio en US$ 10 millones y plantea la importancia de concre tarla a la brevedad. VMT no se compromete.","BACKGROUND"
"El señor Vladimiro Montesinos","El general es el presidente de la Caja de Pensiones Militar Policial. La vez pasada conversamos sobre la posibilidad de que usted, este, hiciera la venta de la parte del canal; entonces la Caja tiene un interés, las Fuerzas Armadas, ¿no?","MONTESINOS"
"El señor Julio Vera Abad","Claro.","VERA ABAD"
"El señor Vladimiro Montesinos","Pero hubo una posibilidad en nuestro concepto vía la Caja de Pensiones Policial, que es un organismo que (?).","MONTESINOS"
"El señor Julio Vera Abad","Tiene inversiones.","VERA ABAD"
"El señor Vladimiro Montesinos","Tiene sus inversiones, es dueño del Hotel Las Américas, tiene dos, tres hoteles más, el Apart Hotel, los Apart Hotel.","MONTESINOS"
"Desconocido","Tiene el Hotel Las Américas, el Hostal La Américas, el Apart Hotel, el Hotel El Pueblo y el Diplomat (?) nos han dado (?) estaba con su mayoría.","DESCONOCIDO"
"El señor Vladimiro Montesinos","En hoteles hay una infraestructura muy grande, pues, ¿no?","MONTESINOS"
"El señor Julio Vera Abad","Si (?) la Caja de Pensiones Militar Policial y...","VERA ABAD"
"El señor Vladimiro Montesinos","(?) las Fuerzas Armadas.","MONTESINOS"
"El señor Julio Vera Abad","Todo eso.","VERA ABAD"
"El señor Vladimiro Montesinos","Entonces, queremos conversar con usted sobre ese tema y, obviamente, primero está la voluntad de usted de que...","MONTESINOS"
"El señor Julio Vera Abad","No, yo quisiera, perdón, yo lo... quisiera es, pues tener 95%.","VERA ABAD"
"El señor Vladimiro Montesinos","¿95%?","MONTESINOS"
"El señor Julio Vera Abad","Sí.","VERA ABAD"
"El señor Vladimiro Montesinos","Quedarse con...","MONTESINOS"
"El señor Julio Vera Abad","El otro 5% del otro señor que de repente quiere vender (?), no quiero meterme en ese lado.","VERA ABAD"
"El señor Vladimiro Montesinos","Ya. Usted ¿cuánto tiene de las acciones del canaír","MONTESINOS"
"El señor Julio Vera Abad","95%.","VERA ABAD"
"El señor Vladimiro Montesinos","95% y el otro señor tiene el 5%. Ya le sacaron (?) de repente quedara (?) es problema de él, o sea que al momento (?) americana.","MONTESINOS"
"El señor Julio Vera Abad","Claro que nadie más tiene que meter, el otro no tiene ni voz ni voto.","VERA ABAD"
"El señor Vladimiro Montesinos","Claro.","MONTESINOS"
"El señor Julio Vera Abad","Yo le he mantenido con él su voto por (?).","VERA ABAD"
"El señor Vladimiro Montesinos","(?)","MONTESINOS"
"El señor Julio Vera Abad","Pero nunca he (?) a la bohemia, ¿no?","VERA ABAD"
"El señor Vladimiro Montesinos","Ya.","MONTESINOS"
"El señor Julio Vera Abad","Así que...","VERA ABAD"
"El señor Vladimiro Montesinos","Entonces, ahora lo que queremos ver es, digamas Primero, nos preocupan dos cosas, este, si bien estamos en esta conversación que T estamos haciendo, ya digamos formal, hasta el medio día ya con la presencia ce ge nerales y lo que colocaban la vez pasada a calzón quitado, no queremos que (?).","MONTESINOS"
"El señor Julio Vera Abad","Eso, eso es el problema, yo pienso salir antes, de ahi antes de fin de año, yo (?) antes del primero de febrero, quince de febrero quiere volver; o sea, yo le he puesto un montón de trabas.","VERA ABAD"
"El señor Vladimiro Montesinos","Ya.","MONTESINOS"
"El señor Julio Vera Abad","Pero se hace el engreído, pero siempre está fastidiando y quiere quedarse y él se va a quedar; pero si sale esto afuera, se acabó el problema.","VERA ABAD"
"El señor Vladimiro Montesinos","No, claro, pero es que él también...","MONTESINOS"
"El señor Julio Vera Abad","Yo quisiese que tuviesen ustedes la mayoría absoluta, que no (?) con nadie (?) que personas (?) ¿me parece? Bueno, en el (?) en todas partes, el canal del ejército está a su nombre, ¿no?","VERA ABAD"
"El señor Vladimiro Montesinos","Claro, una palabra ante la cual (?) digamos es ta conversación no la vamos a hacer, pues, en cinco días, en siete días, porque te nemos que hacer un estudio de...","MONTESINOS"
"El señor Julio Vera Abad","Vea, bueno, yo a (?) tengo una oferta.","VERA ABAD"
"El señor Vladimiro Montesinos","Ya.","MONTESINOS"
"El señor Julio Vera Abad","Ya, esta oferta hay que hacer los balances (?) con este balance.","VERA ABAD"
