"speaker","speech","speaker_std"
"BACKGROUND","Reunion de Ketin Vidal y Vladimiro Montesinos. (del 25 de Diciembre de 1999). Horas después, ese mismo día, Vidal contesta formalmente que no acepta la ofer ta de Fujimori; su negativa incluye la garantía de que tampoco competirá por la oposición..","BACKGROUND"
"Desconocido","Buenos días.","DESCONOCIDO"
"BACKGROUND","[Dialogo ininteligible.]","BACKGROUND"
"Desconocido","¿Nadie trabaja?","DESCONOCIDO"
"Desconocido","Todo está vacío.","DESCONOCIDO"
"Desconocido","Dale de baja. Tráete un contrato.","DESCONOCIDO"
"Desconocido","(?).","DESCONOCIDO"
"Desconocido","Me hace un documento aparentemente con fecha atrasada, pero te dan de baja.","DESCONOCIDO"
"Desconocido","(?)","DESCONOCIDO"
"Desconocido","(?) porque (?).","DESCONOCIDO"
"Desconocido","No, me dice, porque yo voy a jugar de suplente.","DESCONOCIDO"
"Desconocido","Está bien (?) aparentemente en el papel te dan baja.","DESCONOCIDO"
"Desconocido","Sí, está bien, por eso le digo (?).","DESCONOCIDO"
"Desconocido","Pero cómo le van a demostrar que cobra sueldo","DESCONOCIDO"
"Desconocido","(?) de economía.","DESCONOCIDO"
"Desconocido","(?).","DESCONOCIDO"
"Desconocido","(?) Ketín (?) la vida política.","DESCONOCIDO"
"BACKGROUND","[Inicio del video N.° 1809, de este ángulo se aprecia al señor Ketín Vidal Herrera.]","BACKGROUND"
"El señor Ketín Vidal","(?) te vas a dar cuenta, por ahí está el baño, por ahí hay otra salida (?); es decir, esa mesita de centro estaba ahí.","VIDAL"
"Desconocido","Claro. O sea, que esto es lo que antes era la oficina de (?).","DESCONOCIDO"
"El señor Ketín Vidal","No, era también Salazar.","VIDAL"
"Desconocido","Salazar, pues, claro.","DESCONOCIDO"
"El señor Ketín Vidal","Es del mismo grosor.","VIDAL"
"BACKGROUND","[Inicio del video N.° 1810, se aprecia en este video al señor Vladimiro Montesinos.]","BACKGROUND"
"Desconocido","No, claro.","DESCONOCIDO"
"El señor Ketín Vidal","Era chiquita.","VIDAL"
"Desconocido","Chiquitita.","DESCONOCIDO"
"El señor Ketín Vidal","Ésta es mi ahijada, discúlpame.","VIDAL"
"Desconocido","Sí. Préstame tu llave (?).","DESCONOCIDO"
"El señor Ketín Vidal","No te digo...","VIDAL"
"BACKGROUND","[Ingresa un señor, se lleva la llave del señor Ketín Vidal y se retira.]","BACKGROUND"
"El señor Ketín Vidal","(?) me va a chequear, ¿no?","VIDAL"
"Desconocido","¿Ah?","DESCONOCIDO"
"El señor Ketín Vidal","(?).","VIDAL"
"Desconocido","(?) una viciada. No, es un día, pero tienen candidatos (?).","DESCONOCIDO"
"El señor Ketín Vidal","Aquí ¡uffl Cuántas veces (?) cerca de nueve años. Diez años.","VIDAL"
"Desconocido","Claro, pues, hermano, diez años. El es consciente también, dice: ""¡Carajo! (?) se ha ido (?)"" ¡Puta madre! (?) son cosas que han pasado, además de eso, no sé si te habrá comentado. Además, una vez que sea ministro, inmediatamente, para hacer una homologación como los del ejército, para darle el grado ce general. Te han dicho...","DESCONOCIDO"
"El señor Ketín Vidal","Si me permite. Yo ya sugerí la vez pasada (?).","VIDAL"
"Desconocido","(?) no está eso en..., no entró.","DESCONOCIDO"
"El señor Ketín Vidal","No entró, pero ha quedado así como general de la Policía nara Director General.","VIDAL"
"Desconocido","Claro, lógico. Entonces, él dice (?).","DESCONOCIDO"
"El señor Ketín Vidal","Secundaria.","VIDAL"
"Desconocido","Dice: ""Por eso no hay ningún problema, porque eso lo resolvemos con un Decreto Supremo"". No hay ningún inconveniente, porque de todas maneras él quiere eso y, ¡carajo!, eso lo vamos a hacer. No hay ningún problema, que conversar bien no más con él, compadre. ¡Puta madre!, me decía; no, si ya le digo, tú sabes (?) es una persona que (?) ¿o no la conoces bien tú? Él ya ha esta rte acá, ha venido, ha estado acá con nosotros.","DESCONOCIDO"
