speaker	speech	speaker_std
Background	Departamento  de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DEL VÍDEO N.° 866 ‘‘ALEX – ABSALÓN — LUZ Y DR.’’ 15 DE ENERO DE 1998 —Se aprecia una sala donde hay un sofá, dos muebles, un puff, una mesa de centro, una puerta colateral al medio del ambiente, un cuadro colgado arriba del sofá, dos mesas esquineras y dos plantas. Al fondo se observa una mesa, 5 sillas y un cuadro colgado en la pared . —El mozo ingresa a la Sala donde se encuentra la congresista Luz Salgado Rubianes de Paredes y el señor Absalón Vásquez Villanueva.	BACKGROUND
El señor Mozo.—	 Permiso. Buenas tardes.	SERPA
La señora SALGADO RUBIANES DE PAREDES.—	 Una agüita mineral con hielo, nada más; o ¿tiene un juguito?	SALGADO
El señor Mozo.—	 Sí, también.	SERPA
La señora SALGADO RUBIANES DE PAREDES.—	 ¿De qué?	SALGADO
El señor Mozo.—	 Piña, naranja, papaya	SERPA
La señora SALGADO RUBIANES DE PAREDES.—	 Piña con papaya.	SALGADO
El señor Mozo.—	 ¿Y el señor?	SERPA
El señor VÁSQUEZ VILLANUEVA.—	 (Inintelegible)	VILLANUEVA RUESTA
Background	—El mozo se retira de la sala .	BACKGROUND
El señor VÁSQUEZ VILLANUEVA.—	 Qué tal te parece  (Inintelegible)	VILLANUEVA RUESTA
La señora SALGADO RUBIANES DE PAREDES.—	 En esto no va a atracar	SALGADO
El señor VÁSQUEZ VILLANUEVA.—	 ¿Ah?, ¿cuál?	VILLANUEVA RUESTA
La señora SALGADO RUBIANES DE PAREDES.—	 Me parece.	SALGADO
El señor VÁSQUEZ VILLANUEVA.—	 ¿Cuál?	VILLANUEVA RUESTA
La señora SALGADO RUBIANES DE PAREDES.—	 El proyecto.	SALGADO
El señor VÁSQUEZ VILLANUEVA.—	 ¿Ah?	VILLANUEVA RUESTA
La señora SALGADO RUBIANES DE PAREDES.—	 Lo de los personeros (Inintelegible)	SALGADO
El señor VÁSQUEZ VILLANUEVA.—	 (Inintelegible) con participación literal, se ha demostrado. Todos.	VILLANUEVA RUESTA
La señora SALGADO RUBIANES DE PAREDES.—	Cambio 90 con conocimiento de (Inintelegible)	SALGADO
El señor VÁSQUEZ VILLANUEVA.—	 Con todos.	VILLANUEVA RUESTA
La señora SALGADO RUBIANES DE PAREDES.—	 Ah, y que registran todos.	SALGADO
El señor VÁSQUEZ VILLANUEVA.—	 Para nada.	VILLANUEVA RUESTA
La señora SALGADO RUBIANES DE PAREDES.—	 Ah, ya, está bien.	SALGADO
El señor VÁSQUEZ VILLANUEVA.—	 Ah, no, lógico, porque (Inintelegible)	VILLANUEVA RUESTA
La señora SALGADO RUBIANES DE PAREDES.—	 Perfecto, perfecto.	SALGADO
Background	—Ingresa el Coronel Huamán Azcurra. .	BACKGROUND
El señor VÁSQUEZ VILLANUEVA.—	 ¡Hola!, qué tal.	VILLANUEVA RUESTA
El señor HUAMÁN AZCURRA.—	 Qué tal, cómo estás.	HUAMAN
La señora SALGADO RUBIANES DE PAREDES.—	 ¡Hola!, qué tal, cómo está. Qué dice, cómo le va. Famoso.	SALGADO
El señor HUAMÁN AZCURRA.—	 Ah, no. Por ahí nomás, las malas lenguas dicen que soy famoso. Yo creo que usted es más  famosa que yo, ah.	HUAMAN
La señora SALGADO RUBIANES DE PAREDES.—	 Ah, bueno, sí.	SALGADO
El señor HUAMÁN AZCURRA.—	 Usted es la batalladora de toda la parte positiva.	HUAMAN
La señora SALGADO RUBIANES DE PAREDES.—	 ¡Ah!, Ahí vamos	SALGADO
El señor HUAMÁN AZCURRA.—	 ¿Les han servido, por favor?	HUAMAN
La señora SALGADO RUBIANES DE PAREDES.—	 Ya ahorita nos va a traer.	SALGADO
El señor HUAMÁN AZCURRA.—	 Ya, cualquier cosita estoy para servirle. Encantado.	HUAMAN
El señor VÁSQUEZ VILLANUEVA.—	 Chau, chau.	VILLANUEVA RUESTA
La señora SALGADO RUBIANES DE PAREDES.—	 Gracias.	SALGADO
Background	—Se retira el Coronel Huamán Azcurar de la sala .	BACKGROUND
El señor VÁSQUEZ VILLANUEVA.—	 ¿Qué tal te parece?	VILLANUEVA RUESTA
La señora SALGADO RUBIANES DE PAREDES.—	 Está bien.	SALGADO
El señor VÁSQUEZ VILLANUEVA.—	 ¿Está bien?	VILLANUEVA RUESTA
La señora SALGADO RUBIANES DE PAREDES.—	 Sí.	SALGADO
—	 CONVERSACIÓN IMPERCEPTIBLE.	MONTESINOS
La señora SALGADO RUBIANES DE PAREDES.—	 Mira, ¿sabes qué?, han aparecido de los informes que  (Inintelegible)	SALGADO
El señor VÁSQUEZ VILLANUEVA.—	 (Inintelegible) porque él ha venido a Lima urgente.	VILLANUEVA RUESTA
La señora SALGADO RUBIANES DE PAREDES.—	 Quise evitarle a Lourdes Flores la (Inintelegible) . Entonces lo que me dio a entender a mí...	SALGADO
El señor VÁSQUEZ VILLANUEVA.—	 No defenderla a ella. (Inintelegible).	VILLANUEVA RUESTA
La señora SALGADO RUBIANES DE PAREDES.—	 No defenderla.	SALGADO
El señor VÁSQUEZ VILLANUEVA.—	 (Inintelegible).	VILLANUEVA RUESTA
La señora SALGADO RUBIANES DE PAREDES.—	 Además (Inintelegible) es algo como un puente...	SALGADO
El señor VÁSQUEZ VILLANUEVA .—	 (Inintelegible)... y punto. Acá se ha armado un círculo y no más vamos a permitir que la gente...	VILLANUEVA RUESTA
La señora SALGADO RUBIANES DE PAREDES.—	 Claro, que concluya..	SALGADO
El señor VÁSQUEZ VILLANUEVA .—	 Así es.	VILLANUEVA RUESTA
La señora SALGADO RUBIANES DE PAREDES.—	 (Inintelegible) Ha revivido todo (Inintelegible) en el CCD y... (Inintelegible)	SALGADO
El señor VÁSQUEZ VILLANUEVA .—	 (Inintelegible)	VILLANUEVA RUESTA
—	 CONVERSACIÓN IMPERCEPTIBLE.	MONTESINOS
El señor VÁSQUEZ VILLANUEVA .—	 ¿Cómo lo ves?	VILLANUEVA RUESTA
El señor SALGADO RUBIANES DE PAREDES.—	 Muy bien, muy bien, perfecto.	SALGADO
El señor VÁSQUEZ VILLANUEVA .—	 (Inintelegible).	VILLANUEVA RUESTA
La señora SALGADO RUBIANES DE PAREDES.—	 (Inintelegible)	SALGADO
—	 Ingresa a la sala el señor Montesinos Torres .	MONTESINOS
El señor MONTESINOS TORRES.—	 No me ponga nada ahí. Mejor nos sentamos ahí. Es bueno que esto quede registrado.	MONTESINOS
La señora SALGADO RUBIANES DE PAREDES.—	 Está bien, ah.	SALGADO
El señor MONTESINOS TORRES.—	 Como conceptos para manejar nosotros, porque acá el problema que yo veo es el siguiente, me parece...	MONTESINOS
