speaker,speech,speaker_std
BACKGROUND,"Reunion de Ketin Vidal y Vladimiro Montesinos. (del 25 de diciembre de 1999).En esta entrevista, VMT le ofrece a Ketin Vidal una vicepresidencia en la plancha de Alberto Fujimori, informándole que Francisco Tudela ocuparía la otra vicepresidencia. El ofrecimiento de VMT incluye el cargo de ministro del interior. Vidal le adelanta que está pensando concentrarse en temas familiares y que no piensa incursionar en política.",BACKGROUND
BACKGROUND,"[Se observa la sala de espera, hace su ingreso el señor Montesinos Torres y saluda al señor Vidal Herrera, quien porta un teléfono celular en la mano.]",BACKGROUND
El señor Ketín Vidal,Puntual.,VIDAL
El señor Vladimiro Montesinos,"Tú, también puntual.",MONTESINOS
BACKGROUND,[Inicio del audio N.° 1808],BACKGROUND
BACKGROUND,[Inicio del video N° 1807],BACKGROUND
El señor Ketín Vidal,"¡Qué tal!, ¿cómo has estado?",VIDAL
El señor Vladimiro Montesinos,"Bien, hermano. Y, ¿cómo has pasado la noche?",MONTESINOS
El señor Ketín Vidal,"Bien, con la familia.",VIDAL
El señor Vladimiro Montesinos,"Con la familia, ¿no?",MONTESINOS
El señor Ketín Vidal,"Sí, tú sabes que hay un problema familiar.",VIDAL
El señor Vladimiro Montesinos,¿Qué ha pasado?,MONTESINOS
El señor Ketín Vidal,Mi madre está muy delicada de salud.,VIDAL
El señor Vladimiro Montesinos,¿Está internada?,MONTESINOS
El señor Ketín Vidal,"Voy a viajar. Hace cinco años (?) el doctor Quiroz la está viendo, tiene un problema latente de preinfarto.",VIDAL
El señor Vladimiro Montesinos,No me digas.,MONTESINOS
El señor Ketín Vidal,"Sí, ha tenido infarto, está grave y después ya…",VIDAL
El señor Vladimiro Montesinos,¿En el hospital de Policía?,MONTESINOS
El señor Ketín Vidal,"No, estoy haciéndole un chequeo ahí en..., su diagnóstico es que posiblemente aquí se...",VIDAL
El señor Vladimiro Montesinos,(?).,MONTESINOS
El señor Ketín Vidal,Creo que sí.,VIDAL
El señor Vladimiro Montesinos,Déjame comentar el fin de semana en Houston que... ¿a qué parte?,MONTESINOS
El señor Ketín Vidal,A Houston posiblemente.,VIDAL
El señor Vladimiro Montesinos,Ahí tengo yo el médico que me ve.,MONTESINOS
El señor Ketín Vidal,"El doctor Quiroz la esta viendo, ¿no?",VIDAL
El señor Vladimiro Montesinos,"Anoche, ¿quién me contestó cuando llamé a tu casa?",MONTESINOS
El señor Ketín Vidal,(?) mi cuñada.,VIDAL
El señor Vladimiro Montesinos,"Ah, tu cuñada.",MONTESINOS
El señor Ketín Vidal,"Claro, mi cuñada.",VIDAL
El señor Vladimiro Montesinos,"Creí que era tu señora, ""No, no"", me dijo, ""soy..."", no le he preguntado quién era.",MONTESINOS
El señor Ketín Vidal,Entonces este...,VIDAL
El señor Vladimiro Montesinos,(?).,MONTESINOS
El señor Ketín Vidal,(?) fue intervenida a dos meses que la operaron a mi ma dre (?).,VIDAL
El señor Vladimiro Montesinos,¡Caramba!,MONTESINOS
El señor Ketín Vidal,"(?) ella ha sufrido, la mamá también sufre de...",VIDAL
El señor Vladimiro Montesinos,(?) coronarios.,MONTESINOS
El señor Ketín Vidal,Claro.,VIDAL
El señor Vladimiro Montesinos,"La mayoría de gente que sufre de problemas cardiovaculares no son tocados, son cosas delicadas pero juntos este...",MONTESINOS
El señor Ketín Vidal,"Pero ¿sabes qué?, lleva un tratamiento continuo.",VIDAL
El señor Vladimiro Montesinos,"Ah, sí.",MONTESINOS
El señor Ketín Vidal,Medio te descuidas y es fatal.,VIDAL
El señor Vladimiro Montesinos,"Bueno, pero dónde lo curan con... comía, her mano, chancho todo el día, tomaba mucho trago, fumaba, era sedentario, no ha cia ejercicios; entonces, obviamente, el infarto te viene tarde o temprano (?). Digamos, la vena, la arteria se hace como una tetita, entonces, esa tetita es muy dé bil, como un globo empieza esto, y llega un momento en que esa tetita forma una presión y es, pues, con cualquier impresión, revienta, reventó.",MONTESINOS
El señor Ketín Vidal,"(?) bien amigo mío era, era muy atento, muy amable,",VIDAL
El señor Vladimiro Montesinos,Pobrecito...,MONTESINOS
El señor Ketín Vidal,"Y yo lo vi bajo de peso, el otro día (?) y le pregunté (?).",VIDAL
El señor Vladimiro Montesinos,Sí.,MONTESINOS
El señor Ketín Vidal,Hace como dos meses se había separado.,VIDAL
El señor Vladimiro Montesinos,"¿Viste el día del entierro (?)? cinco mujeres, cada una con hijos y más, la última que tenía era una jovencita.",MONTESINOS
El señor Ketín Vidal,"Sí, con ella la vi ahí.",VIDAL
El señor Vladimiro Montesinos,"Se aparecieron cinco señoras cada una con sus hijos, medio desordenado también era, ¿no?",MONTESINOS
El señor Ketín Vidal,"Claro, él era lo que quieras, el problema es (?).",VIDAL
El señor Vladimiro Montesinos,Armó un lío (?) todas las mujeres.,MONTESINOS
El señor Ketín Vidal,"Bien, bien (?).",VIDAL
El señor Vladimiro Montesinos,(?) todas.,MONTESINOS
El señor Ketín Vidal,"Sí, (?) entonces si Morote (?) reniegue (?) por la criatura y otra por la chica (?).",VIDAL
BACKGROUND,[Suena el celular del señor Vidal Herrera.],BACKGROUND
