"speaker","speech","speaker_std"
"BACKGROUND","﻿Reunión de Carlos Bolona y Vladimiro Montesinos*. (agosto del 2000). VMT y Carlos Bolona ajustan planes para un golpe de estado militar que serla eje cutado por las FFAA esa misma semana. La fecha es difícil de precisar, sólo queda evidencia de que se trata de algún momento posterior a agosto del 2000. A con tinuación precisan quiénes estañan convocados para continuar como altas auto ridades del Estado. Entre otros destacan: el embajador Hugo de Zela, la Fiscal Blanca Nélida Colón y los vocales de la Corte Suprema. Según esta conversación, los enemigos inmediatos del golpe serian Juan José Corriti de la CCTPyJorge del Castillo del APRA, a quienes planean detener. VMT ordena y manda como futuro gobernante en la sombra y le indica a Bolona que el sábado ""te pasas por Palacio y Villanueva te pone la banda"".","BACKGROUND"
"Desconocido","¿Ah?","DESCONOCIDO"
"Desconocido","Debimos firmar esa vaina ¿no?","DESCONOCIDO"
"Desconocido","¿No está firmado?","DESCONOCIDO"
"El señor Vladimiro Montesinos","No, no, no, he pagado pues todo (?) firmado pero no, para diciendo que no, que mañana (?) son las cosas que van pasando (?) afuera (?) comandante (?)","MONTESINOS"
"Desconocido","(?) de todos.","DESCONOCIDO"
"El señor Vladimiro Montesinos","Mañana hacemos eso.","MONTESINOS"
"Desconocido","(?).","DESCONOCIDO"
"BACKGROUND","[Risas.]","BACKGROUND"
"Desconocido","(?) La cuenta regresiva.","DESCONOCIDO"
"El señor Vladimiro Montesinos","(?) ya estamos jodidos.","MONTESINOS"
"Desconocido","(?) tan entreverado.","DESCONOCIDO"
"El señor Vladimiro Montesinos","Sí, pero no le compramos (?) porque, carajo, si lo usamos todo (?).","MONTESINOS"
"El señor Carlos Bolona","Después se le empieza a ajustar y no se puede (?).","BOLONA"
"El señor Vladimiro Montesinos","Claro. Oye, la Nélida ahorita ha salido.","MONTESINOS"
"Desconocido","Sin confirmación.","DESCONOCIDO"
"El señor Vladimiro Montesinos","Después se le tiene que poner un clavito. Es normal.","MONTESINOS"
"Desconocido","(?).","DESCONOCIDO"
"El señor Vladimiro Montesinos","(?) está todo firmado(?) sigue el referéndum.","MONTESINOS"
"Desconocido","Ya.","DESCONOCIDO"
"Desconocido","Y ellos quedan para…","DESCONOCIDO"
"El señor Vladimiro Montesinos","No, hermano, nos quedamos porque estamos viendo (?) vamos a esperar a Hildebrandt.","MONTESINOS"
"Desconocido","(?) un control.","DESCONOCIDO"
"El señor Vladimiro Montesinos","Claro, pues, lógico.","MONTESINOS"
"Desconocido","Eso es lo que filmó Minaya, estuvimos un día…","DESCONOCIDO"
"El señor Vladimiro Montesinos","(?).","MONTESINOS"
"Desconocido","Y aún se puede construir (?).","DESCONOCIDO"
"Desconocido","(?).","DESCONOCIDO"
"Desconocido","(?).","DESCONOCIDO"
"El señor Vladimiro Montesinos","(?) tu sobrino también, pero él ya sabe.","MONTESINOS"
"Desconocido","(?).","DESCONOCIDO"
"Desconocido","(?).","DESCONOCIDO"
"BACKGROUND","[Risas]","BACKGROUND"
"Desconocido","Has violado la democracia.","DESCONOCIDO"
"Desconocido","(?) es treinta años.","DESCONOCIDO"
"Desconocido","(?).","DESCONOCIDO"
"Desconocido","Ahora estoy en un (?).","DESCONOCIDO"
"Desconocido","Hoy (?) el grupo (?) atender (?).","DESCONOCIDO"
"Desconocido","Ahora llegué cuando (?).","DESCONOCIDO"
"Desconocido","(?).","DESCONOCIDO"
"Desconocido","(?).","DESCONOCIDO"
"BACKGROUND","[Se escucha voces de la televisión.]","BACKGROUND"
"Desconocido","¿Dónde está?, te acompaño.","DESCONOCIDO"
"BACKGROUND","[Continúa el diálogo.]","BACKGROUND"
"Desconocido","Y hay un chino, hay un chino que prepara el (?) enorme.","DESCONOCIDO"
"BACKGROUND","[Se escucha la puerta, al parecer ingresa el señor Vladimiro Montesinos.]","BACKGROUND"
"El señor Vladimiro Montesinos","A ver, vamos a dar la última leída a la ley","MONTESINOS"
"El señor.","(?)","DESCONOCIDO"
"Desconocido","(?)","DESCONOCIDO"
"Desconocido","Es marco ya la ley, ¿no?","DESCONOCIDO"
"El señor Vladimiro Montesinos","Lógico.","MONTESINOS"
"Desconocido","Gran parte del país está (?).","DESCONOCIDO"
"BACKGROUND","[Silencio.]","BACKGROUND"
"El señor Vladimiro Montesinos","Ya. Eso tienes que mandarlo a (?)","MONTESINOS"
