"speaker","speech","speaker_std"
"BACKGROUND","﻿Reunión de ""señor americano""y Vladimiro Montesinos. (del 26 de febrero de 1998).En este audio se registra la conversación entre VMT y dos personas no identifica das, una de las cuales es mujer y el otro es llamado en el rótulo ""Sr. Americano"". En algunos pasajes se conversa sobre la supuesta campaña que Baruch Ivcher es taría realizando en los Estados Unidos para presentar su caso como violación de los DD.HH. Luego, la conversación se centra en el caso judicial de Yanacocha. VMT trata a sus interlocutores como representantes de los intereses norteamericanos en el conflicto y les informa que con la intervención de la jueza Alcira Vásquez la causa se empatarla y que definiría el juez Lino Roncalla, que inclinaría finalmen te la sentencia a favor de Newmont-Buenaventura. Luego, conversan sobre entre garle a VMT una compensación por sus servicios en este caso y él contesta que ""amor con amor se paga, hay muchas formas..."" Finalmente evalúan a los aboga dos que intervienen en el caso y VMT opina muy desfavorablemente de Delia Revoredo, defensora de los intereses franceses en Yanacocha.","BACKGROUND"
"BACKGROUND","[El audio se inicia con vacío y ruido.]","BACKGROUND"
"BACKGROUND","[Diálogo ininteligible.]","BACKGROUND"
"El americano","(?) ha aprendido a comunicarse con Manuel, en vez que Manuel haya aprendido inglés.","AMERICANO"
"BACKGROUND","[Risas.]","BACKGROUND"
"El señor Vladimiro Montesinos","Perfecto. ¿Y habla?","MONTESINOS"
"El americano","Le agradecemos por haber venido a visitarlo.","AMERICANO"
"El señor Vladimiro Montesinos","Sí, sí, sí. Estoy contento con su visita, le voy a informar a Manuel de su llegada, y le transmitió la información que usted me ha bía indicado, yo le agradezco mucho por su información y como le dije a Manuel que, ' Bueno, lo que yo pueda hacer por usted, con mucho gusto"".","MONTESINOS"
"El americano","Agradece la ayuda que le estás dando, pero él ha venido expresa mente para hablarte a ti con la información que él ahora trae.","AMERICANO"
"El señor Vladimiro Montesinos","Claro. Yo quisiera agregarle que me contara ce rno toda la mecánica, todo el proceso de cómo se usaba esta información, dentro de lo que él me pueda contar obviamente.","MONTESINOS"
"El americano","La mayor parte de su carrera, dice que ha estado concentrado cr eí ámbito de negocios, pasó dentro de lo que yo hice en la fuerza policía... como ayudando en la fuerza policial.","AMERICANO"
"El señor Vladimiro Montesinos","Gracias.","MONTESINOS"
"El americano","Sí, conoció durante... a muchas personas (?). Y obviamente cuando entro en el ámbito del negocio, él mantuvo sus relacione: que él tuvo la intención, cumplir relaciones para poder vender o bueno, relacicz comercial.","AMERICANO"
"El señor Vladimiro Montesinos","Okay.","MONTESINOS"
"El americano","De eso modo ha podido establecer dichas relaciones desde las co munidades de inteligencia y sistemática, y también el de la fuerza policial (?). Él tenía en esos momentos en el Perú un grave problema con respecto a la Compañía Minera Buenaventura, sino que a raíz de que él ha venido, él ha buscado a sus amigos que lo puedan ayudar en ese ámbito.","AMERICANO"
"El señor Vladimiro Montesinos","Ya.","MONTESINOS"
"El americano","Pero dice que, él francamente, del otro lado, más bien pase como culpable a Franz (?) en todas las pericias.","AMERICANO"
"El señor Vladimiro Montesinos","Así es.","MONTESINOS"
"El americano","Tuve que pedir y pedir y buscar ayuda, de modo que no iban a venir. Dice que por el lado de sus relaciones (?) como mucho (?).","AMERICANO"
"El señor Vladimiro Montesinos","Sí.","MONTESINOS"
"El americano","Sería en la semana.","AMERICANO"
"El señor Vladimiro Montesinos","Así es.","MONTESINOS"
"El americano","Asesores sería en la semana. Tú, es el grupo de éste que escoja, hace el trabajo para él, esto es el problema tiene en los Estados Unidos.","AMERICANO"
"El señor Vladimiro Montesinos","Así es.","MONTESINOS"
"El americano","Así que él le presta ayuda para que pueda tratar al ingeniero, es un acuerdo.","AMERICANO"
"El señor Vladimiro Montesinos","A tratarse, a tratarse.","MONTESINOS"
"El americano","Sí.","AMERICANO"
"BACKGROUND","[Risas.]","BACKGROUND"
"El señor Vladimiro Montesinos","Haciéndole un paréntesis, dile que estoy perfec tamente al tanto del problema que tiene el señor y a las personas que representa con los franceses en el lío que tiene en el poder judicial. Sé que hay un litigio judicial en trámite y lo conozco perfectamente.","MONTESINOS"
"El americano","En la Corte Suprema.","AMERICANO"
"El señor Vladimiro Montesinos","En la Corte Suprema, sí, ha quedado, ha que dado al voto. Ha intervenido la doctora Elcira Vásquez.","MONTESINOS"
"El americano","Antes de ese mes su pelo era un color (?).","AMERICANO"
"El señor Vladimiro Montesinos","Y ahora lo tiene blanco.","MONTESINOS"
"BACKGROUND","[Risas.]","BACKGROUND"
"El señor Vladimiro Montesinos","Lo ha rematado.","MONTESINOS"
"El americano","Antes trabajaba en (?).","AMERICANO"
"El señor Vladimiro Montesinos","Ex funcionario de la Agencia Central de Inteligencia.","MONTESINOS"
"El americano","Ex funcionario.","AMERICANO"
"El señor Vladimiro Montesinos","Ex funcionario.","MONTESINOS"
"El americano","Él tiene un amigo que se llama John Marks.","AMERICANO"
"El señor Vladimiro Montesinos","John Marks.","MONTESINOS"
"El americano","John Marks. ¿Quién es John Marks? John Marks trabaja para ustedes.","AMERICANO"
"El señor Vladimiro Montesinos","Claro.","MONTESINOS"
"El americano","(?)pone a la gente, noticias (?) John Marks.","AMERICANO"
"El señor Vladimiro Montesinos","¿John Marks? Ya.","MONTESINOS"
"El americano","Se dobló con Bruno.","AMERICANO"
"El señor Vladimiro Montesinos","Ya.","MONTESINOS"
"El americano","Sí. Bruno lo está ayudando.","AMERICANO"
"El señor Vladimiro Montesinos","Ya.","MONTESINOS"
"El americano","Bruno le informó que había recibido contacto, y ha entrado en contacto con la noticia legal de Ivcher.","AMERICANO"
"El señor Vladimiro Montesinos","Okay.","MONTESINOS"
"El americano","¿Y Bruno trabaja para él?","AMERICANO"
"El señor Vladimiro Montesinos","Okay.","MONTESINOS"
"El americano","Y Bruno trabaja para él, y dice que usted es un mal hombre.","AMERICANO"
"El señor Vladimiro Montesinos","¿Éso dice?","MONTESINOS"
"El americano","Y le dice yo te puedo ayudar en Lima a ti a tu familia.","AMERICANO"
"El señor Vladimiro Montesinos","Ya.","MONTESINOS"
"El americano","Dicen que ellos quieren iniciar una campaña.","AMERICANO"
"El señor Vladimiro Montesinos","¿Contra quién?","MONTESINOS"
"El americano","Contra ti, con la comunidad judía. Dice, eso es todo un... es problema de derechos humanos.","AMERICANO"
"El señor Vladimiro Montesinos","Okay.","MONTESINOS"
"El americano","Y Bruno le informa y le dice que él perfectamente sabe que no es así, que él no tiene nada que ver con televisión. Dice que ése es un problema que existe, se ha cometido mafia o no, se ha portado mal por más de 27 años. Ustedes no se conocen (?).","AMERICANO"
"El señor Vladimiro Montesinos","Lógico","MONTESINOS"
"El americano","Es demasiado lo que supo.","AMERICANO"
"El señor Vladimiro Montesinos","Sin duda, claro (?) tiene sentido (?).","MONTESINOS"
"El americano","¿Pero no es él que hace todo?","AMERICANO"
"El señor Vladimiro Montesinos","No, hasta amanecer.","MONTESINOS"
"El americano","Así es la forma que él supo a través de Bruno que vive en Estados Unidos. Entonces, yo me hago la pregunta: ¿y Bruno cómo supo?","AMERICANO"
"El señor Vladimiro Montesinos","Sí, sí.","MONTESINOS"
"El americano","Entonces él dice que sólo puedo adivinar.","AMERICANO"
"El señor Vladimiro Montesinos","Sí,","MONTESINOS"
"El americano","John Marks. M.A.G","AMERICANO"
"El señor Vladimiro Montesinos","John Marks,","MONTESINOS"
"El americano","Marks, m-a-r-k-s.","AMERICANO"
"El señor Vladimiro Montesinos","Sí, sí, así esta bien.","MONTESINOS"
"El americano","Dice que John Marks ya no trabaja con la gente, pero cree que to davía mantiene los contactos muy cercanos, muy fuertes y también cree que podría ser posible que Marks haya recibido algún tipo de contacto, que él lo ha buscado a Marks. Marks es un hombre que trabaja, tiene un contrato.","AMERICANO"
"El señor Vladimiro Montesinos","Ya.","MONTESINOS"
"El americano","Bruno, para algunas cosas, lo contrata.","AMERICANO"
"El señor Vladimiro Montesinos","Ya.","MONTESINOS"
"El americano","(?) Dice que Marks era todo un problema para ti, nadie más pue de arreglar esto.","AMERICANO"
"El señor Vladimiro Montesinos","Bueno, así son.","MONTESINOS"
"El americano","(?)","AMERICANO"
"El señor Vladimiro Montesinos","Creo que Ivcher tiene conocimiento, que yo su puestamente voy a viajar a Washington.","MONTESINOS"
"El americano","¿Dicen que saben?","AMERICANO"
"El señor Vladimiro Montesinos","No.","MONTESINOS"
"El americano","¿No saben?","AMERICANO"
"El señor Vladimiro Montesinos","No, quien sabe es John Marks y Bruno.","MONTESINOS"
"El americano","O sea, Bruno sabía, lo estaba persiguiendo, tratando de dárselo a Marks.","AMERICANO"
"El señor Vladimiro Montesinos","Lo estaba buscando.","MONTESINOS"
"El americano","Pero Bruno es una persona totalmente de su confianza (?).","AMERICANO"
"El señor Vladimiro Montesinos","Así es.","MONTESINOS"
"El americano","Absolutamente (?).","AMERICANO"
"El señor Vladimiro Montesinos","Sí, claro.","MONTESINOS"
"El americano","Se enteró creo... (?) ellos tampoco no lo sabían.","AMERICANO"
"El señor Vladimiro Montesinos","Marks es quien ha sacado toda la información presumo.","MONTESINOS"
"El americano","Bruno, de todas maneras sabía.","AMERICANO"
"El señor Vladimiro Montesinos","Ya.","MONTESINOS"
"El americano","¿Cómo se sabe? Presume que es a través de Marks.","AMERICANO"
