"speaker","speech","speaker_std"
"BACKGROUND","﻿Intervención en la vivienda de Víctor Ivachine. (sin fecha) (trafico de armas) Una voz femenina narra una vuelta por los domicilios de todos los acusados por el tráfico de armas a las FARC. Luego, intervienen la vivienda de Víctor Ivachine, comerciante vinculado al negocio de armamento, de nacionalidad rusa y vincu lado al personal de su embajada en Lima. Ivachine fue detenido y se le toma sus generales de ley","BACKGROUND"
"BACKGROUND","[Se observa en este video varios inmuebles y una señorita que va haciendo la narración corres pondiente.]","BACKGROUND"
"BACKGROUND","[En la parte inferior izquierda de la pantalla se observa lo siguiente: 4.54 PM AUG. 18, 2000.]","BACKGROUND"
"La señorita","En este momento observamos el domicilio de los hermanos Aybar Cancho, ubicado en la Manzana J, Lotes 3 y 4 de la Cooperativa de Vivien da Aprovisa, La Molina. En este inmueble viven los hermanos Aybar Cancho, el mismo que se encuentra a nombre de Marisol Cabrejos Torres, esposa de José Luis Aybar. En el primer piso vive Luis Frank Aybar Cancho, en el segundo piso vive José Luis Aybar y su esposa Marisol, en el tercer piso es el taller de confecciones, y en el cuarto piso viven los padres de los hermanos Aybar. Aquí observamos el edificio en construcción de propiedad de los hermanos Aybar Cancho ubicado en la Cooperativa de Vivienda Aprovisa, donde iba a funcionar el taller de confecciones, el mismo que se encuentra a pocos metros de su domicilio. Observamos la oficina de El Polo, de los hermanos Aybar Cancho, ubicada en la avenida La Encalada, esquina de los Tulipanes N.° 1615, oficina 401, El Embajador, Surco. Aquí observamos el domicilio de Juan Manuel López Rodríguez , ""Español"", ubicado en la calle El Cortijo, N.° 350, casa 5, La Molina, el inmueble es aquel don de están pasando los tres jóvenes. Aquí observamos la oficina de los hermanos Aybar Cancho donde funciona la ""Corporación Internacional de Espectáculos SAC-CORPINDE"", sita en el Pasee de la República 291, oficina 703, Lima. En este momento observamos una vista panorámica de la oficina del estudio jurídico de Aníbal Cárdenas Díaz, abogado de los hermanos Aybar Cancho, ubicada en la avenida Arequipa 2435, oficina 201. En este momento observamos el inmueble de Víctor Ivachine, ubicado en la avenida Dos de Mayo 1320, departamento 101, San Isidro. En este inmueble ubicado en el Zapallal, Manzana F, Lote 4, Puente Piedra, vive la primera esposa de Luis Alberto Meza Rodríguez. En este momento estamos observando el inmueble ubicado en la calle Los Plevares, Manzana F, Lote 13, inmueble donde vivía hasta hace un mes Luis Alberto Meza Rodríguez. Este sujeto ocupaba el segundo piso de la vivienda, como observa mos se encuentra desocupado. En este momento observamos el ingreso al domicilio actual de Luis Alberto Meza Rodríguez ubicado en calle Universo 152, Quinta Zona, La Campiña, Chorrillos. En este momento observamos a Luis Alberto Meza Rodríguez parado en la puerca de su domicilio. En este momento estamos ingresando al domicilio de Santos Cenepo Shapiama. ubicado en Villa Municipal-Chorrillos, Manzana F, Lote 16. En este momento nos encontramos en la calle Universo 152 La Campiña, Chorrillos. Vamos a ingresar al domicilio de Luis Alberto Meza Rodríguez.","DESCONOCIDO"
"BACKGROUND","[Ingresan dos civiles y uno uniformado.]","BACKGROUND"
"Desconocido","En este momento personal…","DESCONOCIDO"
"Desconocido","Teniendo la visita para (?).","DESCONOCIDO"
"Desconocido","Ésta es la puerta de ingreso donde vive Luis Alberto Meza Rodríguez.","DESCONOCIDO"
"La señorita","Aquí observamos a Luis Alberto Meza Rodríguez, cuando se va a hacer el registro correspondiente. Ahí lo vemos acompañado de su esposa.","DESCONOCIDO"
"Desconocido","Vemos su sala-comedor, su cocina y su baño.","DESCONOCIDO"
