speaker,speech,speaker_std
BACKGROUND,"﻿Intervención en la vivienda de José Manuel López Rodríguez. (sin fecha) (trafico de armas FARC) José Manuel López, un comerciante de nacionalidad española, era el principal so cio de los hermanos Aybar Cancho. El video registra la intervención de su domici lio y la primera conversación de la policía con su esposa peruana.",BACKGROUND
BACKGROUND,[Aparece la imagen de un condominio donde hay dos piscinas. Se escucha una voz que narra los hechos.],BACKGROUND
Desconocido,"... la parte interior del inmueble citado, número 350; observamos el vehículo Peugeot de placa AIM-405 que era conducido por la fémina. Observamos el inmueble signado con el número cinco. [Se escucha el bullicio de la calle y enfocan a un señor. Filman la fachada del inmueble N.° 5.] Este es uno de los vigilantes del inmueble quien inicialmente no dio las facilidades del caso para la intervención. A las 6 y 55 de la mañana del día de hoy 21 de agosto de 2000 se procedió al ingreso del inmueble signado con el número 5, dentro del condominio con el núme ro 350, avenida El Cortijo. Vamos al interior.",DESCONOCIDO
BACKGROUND,[Una señora es interrogada en la sala.],BACKGROUND
La señora Raquel de López,"Tiene una compañía de transportes en Europa, por que trabaja en transportes, o sea, con contratos.",DE LOPEZ
Desconocido,¿Y sigue con esa empresa?,DESCONOCIDO
La señora Raquel de López,"No, creo que la cerró, me parece, para venirse acá al Perú.",DE LOPEZ
Desconocido,"¿Usted es su esposa, legalmente casada con él?",DESCONOCIDO
La señora Raquel de López,Sí.,DE LOPEZ
Desconocido,"Y ¡qué raro que...! Bueno, es su forma de vida, ¿no? Yo no quiero juzgar eso, pero qué raro que usted es su esposa y no sabe en qué trabaja.",DESCONOCIDO
La señora Raquel de López,"Usted sabe, como todo europeo. ¿Por qué me filma, señor?",DE LOPEZ
Desconocido,Estamos ingresando a la cocina. Con la colaboración de la señora se está procediendo a verificar el interior de los ambientes.,DESCONOCIDO
Desconocido,¿Esto?,DESCONOCIDO
La señora Raquel de López,Ésa es la puerta falsa.,DE LOPEZ
Desconocido,"No, de repente le incomoda.",DESCONOCIDO
Desconocido,¿De repente la incomodo?,DESCONOCIDO
BACKGROUND,[Filma la habitación y todos los ambientes del segundo piso.],BACKGROUND
La señora Raquel de López,"No, no, no se preocupe, entre no más. No, entre nc más, éstos son (?) él sufre de Parkinson. Pase no más",DE LOPEZ
Desconocido,"Ah, ya. Por el otro lado.",DESCONOCIDO
La señora Raquel de López,Ahí está el otro cuartito.,DE LOPEZ
Desconocido,Buenos días.,DESCONOCIDO
Desconocido,Buenos días,DESCONOCIDO
La señora Raquel de López,Éste es el otro cuartito.,DE LOPEZ
El señor Smith,"¿Qué cosa, hay alguna deuda?",DESCONOCIDO
Desconocido,"Sí, es una intervención, después le vamos a explicar bien.",DESCONOCIDO
BACKGROUND,[Siguen adentrándose en la casa y describen todo.],BACKGROUND
La señora Raquel de López,Éste es el baño.,DE LOPEZ
Desconocido,"Ésta es su hermana, ¿no?",DESCONOCIDO
La señora Raquel de López,Ella es mi hermana.,DE LOPEZ
Desconocido,"¿Algún tipo de ventas, señora?",DESCONOCIDO
La señora Raquel de López,"Sí, nosotros hacemos, hace años, ropas de baño. Y ésa es la puerta que me preguntó, la puerta.",DE LOPEZ
Desconocido,Nosotros vamos a ver el dormitorio.,DESCONOCIDO
Desconocido,"Ése es el celular, ¿no, señora?",DESCONOCIDO
La señora Raquel de López,"No, es éste.",DE LOPEZ
Desconocido,"Ah, inalámbrico.",DESCONOCIDO
La señora Raquel de López,Inalámbrico.,DE LOPEZ
Desconocido,¿Es el mismo número o es otra línea esa del fax?,DESCONOCIDO
La señora Raquel de López,"No, es la misma. No, ése no funciona.",DE LOPEZ
Desconocido,¿Éste sí funciona?,DESCONOCIDO
La señora Raquel de López,Ése sí funciona,DE LOPEZ
Desconocido,¿Reciben fax ustedes?,DESCONOCIDO
La señora Raquel de López,¿Ah?,DE LOPEZ
Desconocido,Ustedes.,DESCONOCIDO
La señora Raquel de López,"Poco, o sea, casi como teléfono no más.",DE LOPEZ
Desconocido,¿Relacionado a lo que es el comercio al que se dedican?,DESCONOCIDO
La señora Raquel de López,¿Perdón?,DE LOPEZ
Desconocido,"Lo relacionado a la venta, al comercio que se dedican, a la venta de ropas de baño.",DESCONOCIDO
La señora Raquel de López,"No, casi no.",DE LOPEZ
Desconocido,¿Casi no lo utilizan?,DESCONOCIDO
La señora Raquel de López,No lo utilizamos.,DE LOPEZ
Desconocido,Bueno.,DESCONOCIDO
BACKGROUND,[Salen al exterior y filman la fachada de la casa N.° 5-1],BACKGROUND
La señora Raquel de López,Buenas.,DE LOPEZ
Desconocido,"De acá se aprecia el interior 5 donde se encontraba residiendo la persona de Enna Raquel Smith Maguiña de López; asimismo, se observa acá el vehículo Peugeot de placa AIM-405, el cual era conducido por la persona en es tos momentos detenida. [Llega el hermano de la señora Raquel de López.] Dos horas con 20 minutos del 21 de agosto de 2000 estamos procediendo al ingre so del inmueble signado con el número cinco donde reside o residía la detenida Raquel de López. Se va a proceder al registro domiciliario.",DESCONOCIDO
BACKGROUND,"[Se escuchan voces ininteligibles. En la sala se encuentran seis personas, dos mujeres y cuarto hombres.]",BACKGROUND
Desconocido,"Cierren la puerta, por favor.",DESCONOCIDO
Desconocido,"No, no vamos a cerrar, vamos a estar parados acá. Lo dejan acá, por favor.",DESCONOCIDO
Desconocido,¿No quiere que (?)?,DESCONOCIDO
Desconocido,"No, hijo, no.",DESCONOCIDO
Desconocido,Señora.,DESCONOCIDO
La señora Raquel de López,"Señora, buenas tardes.",DE LOPEZ
Desconocido,"Buenas tardes, señora.",DESCONOCIDO
La señora,"Te han llamado, ¿no?",DESCONOCIDO
Desconocido,No.,DESCONOCIDO
BACKGROUND,[Comienzan a revisar cajas y muebles uno por uno.],BACKGROUND
La señora Raquel de López,"Sí, todito está ahí.",DE LOPEZ
Desconocido,"Señora, ¿qué hay acá?",DESCONOCIDO
La señora Raquel de López,Ahí.,DE LOPEZ
Desconocido,¿De quién es este cartapacio?,DESCONOCIDO
La señora Raquel de López,Eso es de mi esposo.,DE LOPEZ
Desconocido,De su esposo. Muy bien ¿Cuándo ha sido la última vez que ha estado su esposo aquí?,DESCONOCIDO
La señora Raquel de López,Hace cuatro días.,DE LOPEZ
Desconocido,Hace cuatro días. ¿Y con qué motivo se retiró?,DESCONOCIDO
La señora Raquel de López,"No, se fue no más y me dijo, me llamó en la noche y me dijo, No te preocupes, no voy a dormir en la casa"".",DE LOPEZ
Desconocido,Ya. ¿A qué actividades se dedicaba su esposo?,DESCONOCIDO
La señora Raquel de López,"Bueno, mi esposo siempre ha viajado, toda la vida.",DE LOPEZ
Desconocido,Viajero.,DESCONOCIDO
La señora Raquel de López,"Sí, sí.",DE LOPEZ
Desconocido,"¿Qué cosa es?, ¿médico?",DESCONOCIDO
La señora Raquel de López,"Ah, no, ha hecho negocios siempre.",DE LOPEZ
Desconocido,¿Qué tipo de negocios?,DESCONOCIDO
BACKGROUND,"[Mientras un señor hace preguntas, los otros revisan las cosas.]",BACKGROUND
La señora Raquel de López,"O sea, él ha trabajado en Europa en comercio internacional.",DE LOPEZ
Desconocido,Comercio internacional. ¿De qué rubro?,DESCONOCIDO
La señora Raquel de López,Él tenía una compañía de transportes.,DE LOPEZ
Desconocido,"Compañía de transportes, ¿aérea?",DESCONOCIDO
La señora,¿Ah?,DESCONOCIDO
Desconocido,¿Aérea?,DESCONOCIDO
La señora Raquel de López,"¿Cómo, aérea?",DE LOPEZ
Desconocido,¿Qué tipo de transportes?,DESCONOCIDO
La señora Raquel de López,"No, no, no, compañía de transportes, o sea, de transportes.",DE LOPEZ
Desconocido,¿Vehículos?,DESCONOCIDO
La señora Raquel de López,"Cuando yo lo he conocido, de vehículos.",DE LOPEZ
Desconocido,¿Cómo se llamaba la compañía?,DESCONOCIDO
La señora Raquel de López,Este... era…,DE LOPEZ
Desconocido,¿Razón social?,DESCONOCIDO
La señora Raquel de López,"No, no, era este... ¿Cómo se llamaba?",DE LOPEZ
Desconocido,¿Dónde quedaba?,DESCONOCIDO
La señora Raquel de López,En París tenía.,DE LOPEZ
Desconocido,¿En París?,DESCONOCIDO
La señora Raquel de López,"En París, sí.",DE LOPEZ
Desconocido,¿En el mismo París?,DESCONOCIDO
La señora Raquel de López,"Pero después lo dejó porque se vino a vivir acá al Pe rú, se casó conmigo y se vino acá al Perú.",DE LOPEZ
Desconocido,¿Usted lo conoció ahí?,DESCONOCIDO
La señora Raquel de López,"Sí, yo lo conocí en Europa.",DE LOPEZ
Desconocido,"¿Dónde?, ¿en París?",DESCONOCIDO
La señora Raquel de López,En París.,DE LOPEZ
Desconocido,¿Usted no sabe qué cosa hay acá?,DESCONOCIDO
La señora Raquel de López,"Bueno, la verdad, no sé.",DE LOPEZ
