"speaker","speech","speaker_std"
"BACKGROUND","﻿Reunión de la cúpula militar y Vladimiro Montesinos. (Vísperas de la segunda vuelta electoral 2000).La conversación comienza alistando los últimos dispositivos para afrontar la segunda vuelta. A continuación, VMT les informa que ha sobornado a Alberto Kouri y ofrece detalles de la operación. Asimismo, hace un repaso de aquellos congresis tas que está tratando de convencer, mencionando a Tito Chocano, Ronnie Jurado, Ernesto Camarra, Luis Bueno y a Jorge Chávez Sibina. Poco más adelante, VMT alardea acerca de su nueva mayoría parlamentaria diciendo que ya tiene consigo a Cuido Pennanoy que todo es cuestión de dinero. VMT lamenta que algunos congresistas hayan perdido la perspectiva, por ejemplo alguno le habría pedido un millón de dólares por cambiar de bando. Luego, conversan sobre las cuotas de di nero que cada institución debe aportar al SIN para financiar la reelección. Final mente, comentan muy negativamente los planes políticos de Alejandro Toledo; asimismo, intercambian informaciones sobre el caso de Fabián Solazar.","BACKGROUND"
"El señor Vladimiro Montesinos","... nosotros respetamos la voluntad popular.","MONTESINOS"
"Desconocido","Total, se puede decir (?) no se hace nada (?). Ahora, escúchame una cosa, jalas allá.","DESCONOCIDO"
"El señor Vladimiro Montesinos","(?) siempre sale.","MONTESINOS"
"Desconocido","Yo le dije que no haga nada.","DESCONOCIDO"
"El señor Vladimiro Montesinos","No, han sacado un escrito.","MONTESINOS"
"Desconocido","¿Qué?","DESCONOCIDO"
"El señor Vladimiro Montesinos","Que se debe cumplir con la obligación de votar el día domingo. La gente tiene cuatro opciones de votar: por uno, por otro, en blanco, nulo, por lo que sea; pero hay que votar.","MONTESINOS"
"Desconocido","Exacto.","DESCONOCIDO"
"El señor Vladimiro Montesinos","Y en todo caso, está dispuesto a ser una de las personas que puede ir a verificar las actas.","MONTESINOS"
"Desconocido","A mí me parece muy bien. Yo, la verdad (?) pero me llamó ayer...","DESCONOCIDO"
"El señor Vladimiro Montesinos","Ya.","MONTESINOS"
"Desconocido","Me dijo: ""Tengo una presión, me están estrechando para que..."" Le dije: ""No digas nada a nadie; es menor presión no decir, que decir, ¿ya? Pero ya no digas nada"".","DESCONOCIDO"
"El señor Vladimiro Montesinos","Ése es el trabajo de Suárez.","MONTESINOS"
"Desconocido","¿Ya? No digas nada hasta que sepas que... ¿me entiendes?","DESCONOCIDO"
"El señor Vladimiro Montesinos","Ya recibieron sus computadoras, toda la hueva da, todo lo que había ofrecido.","MONTESINOS"
"Desconocido","Está bien, pero él no está... ¿me entiendes? Depende de tu parte, llamar y ver. Fíjate, están desconcertados también, ¿ya?","DESCONOCIDO"
"BACKGROUND","[Diálogo ininteligible.]","BACKGROUND"
"Desconocido","Pero tú, ¿cómo estás?","DESCONOCIDO"
"El señor Vladimiro Montesinos","Yo estoy bien cansado, hermano. Hay días que no duermo, estoy cansado. Tengo que descansar ahora, porque mañana es un día bien jodido. Hay que estar controlando todo…","MONTESINOS"
"Desconocido","Hay que estar atento.","DESCONOCIDO"
"El señor Vladimiro Montesinos","Atento.","MONTESINOS"
"Desconocido","¿Mañana van a haber disturbios, todo eso?","DESCONOCIDO"
"El señor Vladimiro Montesinos","Van a haber, pero controlables, pero hay que es tar moscas.","MONTESINOS"
"Desconocido","Las cuestiones las veo bien pobres, generalmente bien pobre. Vi, en general, las últimas reuniones de Toledo, avasalladas, pobres. Ahora, bueno.","DESCONOCIDO"
"El señor Vladimiro Montesinos","Bueno, hermano, entonces, mañana estamos conversando. Trata de hablar con el embajador el día de hoy; si es que el embajador puede ma ñana o pasado, de lo contrario (?) el pueblo peruano que se pronuncie y nosotros somos defensores de la voluntad popular.","MONTESINOS"
"Desconocido","Pero que Ferrero…","DESCONOCIDO"
"Desconocido","Yo te digo una cosa, mejor ni que opine, ¡carajo! Y él no va a opinar. ¿Va a opinar? ¡Qué va!","DESCONOCIDO"
"El señor Vladimiro Montesinos","Es que mucho cuenta que los embajadores van a (?).","MONTESINOS"
"BACKGROUND","[Corte en la cinta.]","BACKGROUND"
"El señor Vladimiro Montesinos","¿La democracia es...? Soberanía popular es el voto, acá ha habido el voto del pueblo y el pueblo ha dicho tal cosa…","MONTESINOS"
"Desconocido","Okay, okay.","DESCONOCIDO"
"BACKGROUND","[Corte en la cinta de audio.]","BACKGROUND"
"El señor Vladimiro Montesinos","Eso en 24 horas lo sacamos.","MONTESINOS"
"Desconocido","¿Así va a ser?","DESCONOCIDO"
"El señor Vladimiro Montesinos","Sí, claro. No me iba a hacer un cojudo, ¡carajo!, que viene aquí, que la elección es ilegal... cojudo, está rompiendo, ¡carajo!, to das las reglas (?) ya no te conté, si él abandonó el país…","MONTESINOS"
"BACKGROUND","[Corte en la cinta de audio.]","BACKGROUND"
"Desconocido","... no influye absolutamente en nada.","DESCONOCIDO"
"El señor Vladimiro Montesinos","¡Ni mierda!, no tengo ninguna relación ni cul tural, ni comercial, ni militar, de ninguna índole. Al contrario (?).","MONTESINOS"
"Desconocido","Nada, nada.","DESCONOCIDO"
"El señor Vladimiro Montesinos","Solamente el embajador persona no grata.","MONTESINOS"
"Desconocido","Aquí tú tienes un embajador que te importa (?) y punto.","DESCONOCIDO"
"El señor Vladimiro Montesinos","Ése (?) que se vaya.","MONTESINOS"
"Desconocido","Y el brasilero, ¡qué bien que no te dijo!, y entiendo que tú confías también…","DESCONOCIDO"
"Desconocido","Pero no me importa.","DESCONOCIDO"
"El señor Vladimiro Montesinos","Claro.","MONTESINOS"
"Desconocido","Pero sí, es muy importante.","DESCONOCIDO"
"El señor Vladimiro Montesinos","Ahora, si te dice algo, estoy moviendo al emba jador (?) es importante que los otros también hagan una declaración que sí apoyan al gobierno.","MONTESINOS"
"Desconocido","El español también.","DESCONOCIDO"
"El señor Vladimiro Montesinos","El español no ha visto la resolución de Aznar, ¿no?","MONTESINOS"
"Desconocido","Bueno, pues, ¡carajo!, es el único. Tienes al de Austria y tienes al de España, lo único que no son izquierdistas o socialistas.","DESCONOCIDO"
"El señor Vladimiro Montesinos","Sí, esto es así. Si el de Rusia sale, esto es impor tante.","MONTESINOS"
"Desconocido","Claro.","DESCONOCIDO"
"El señor Vladimiro Montesinos","Muy importante.","MONTESINOS"
"Desconocido","Y, hoy día, Chile.","DESCONOCIDO"
"El señor Vladimiro Montesinos","Bueno, Chile se va del asunto.","MONTESINOS"
"Desconocido","No, no, digo a.... ¿Rusia?","DESCONOCIDO"
"El señor Vladimiro Montesinos","A lo mejor (?).","MONTESINOS"
"Desconocido","No, no.","DESCONOCIDO"
"El señor Vladimiro Montesinos","Lo llevo a Brasil.","MONTESINOS"
"Desconocido","Ya. Ay, ¡caramba!, pero tú ¿sabes qué?, eso es gravísimo.","DESCONOCIDO"
"El señor Vladimiro Montesinos","Lo que me llega, tú no te preocupes que me va a ir bien.","MONTESINOS"
"Desconocido","Me alegra escuchar que tú tienes todos los problemas claros. Me gustó lo que dijo ese canciller, me gustó lo que dijo Fujimori: ""¿Qué están diciendo? ¿Qué están diciendo?"" Pero, Luisa María está demasiado en la mafia.","DESCONOCIDO"
"El señor Vladimiro Montesinos","¿Qué van a hacer?","MONTESINOS"
"Desconocido","¿Qué pueden hacer, también? Nada, simplemente. Ustedes saben cuidar lo que hagan, sin descuidar lo que pueden hacer, (?) Ya, qué, después de eso qué.","DESCONOCIDO"
"El señor Vladimiro Montesinos","(?) le bloqueas los préstamos que tenemos, compadre. Préstamos para cinco años por demás; o sea, no hay capacidad de gastos para con sumir esto.","MONTESINOS"
"Desconocido","Para consumir esto.","DESCONOCIDO"
"El señor Vladimiro Montesinos","¡Cinco años, ¡carajo! Podemos (?).","MONTESINOS"
"Desconocido","Porque el Fondo no tanto responde Estados Unidos, ¿no?","DESCONOCIDO"
"El señor Vladimiro Montesinos","Pero aun así, le interesa. ¿Qué puede pasar en cinco años de (?). ¿Ayuda militar?","MONTESINOS"
"Desconocido","¿Qué (?)","DESCONOCIDO"
"El señor Vladimiro Montesinos","No, no, no. Ayuda de (?).","MONTESINOS"
"Desconocido","No, militar no, dirás.","DESCONOCIDO"
"El señor Vladimiro Montesinos","No, y que no hay elementos, ¡qué mierda le im porta!","MONTESINOS"
"Desconocido","No, no te conviene. No te conviene esa defensa. ¿Por qué...?","DESCONOCIDO"
"El señor Vladimiro Montesinos","Pero si no quiere.","MONTESINOS"
