"speaker","speech","speaker_std"
"BACKGROUND","Reunion de Enrique Chirinos Soto y Vladimiro Montesinos. (del 3 de diciembre de 1999). Enrique Chirinos visita a VMT para solicitarle un puesto preferente en la lista par lamentaria de Alberto Fujimori; asimismo sugiere que prefiere el número 73, argumentando que al haber sido usado antes por Susy Díaz sería de fácil recordación. VMT ríe, acepta y brevemente pasan revista a la escena política.","BACKGROUND"
"BACKGROUND","[Inicio del audio N.° 1799 y video N.° 1798.]","BACKGROUND"
"El señor Enrique Chirinos","Oye.","CHIRINOS"
"El señor Vladimiro Montesinos","Sí.","MONTESINOS"
"El señor Enrique Chirinos","Mira una cosa. Sin embargo, creo que hay un error de la secretaria; yo no he dicho urgencia. ¡Có mo mierda has arreglado! Que me (?) la culpa (?) muy necesario.","CHIRINOS"
"El señor Vladimiro Montesinos","Ya lo creo.","MONTESINOS"
"El señor Enrique Chirinos","Te lo agradezco y te resumo por qué te busco.","CHIRINOS"
"El señor Vladimiro Montesinos","Ya.","MONTESINOS"
"BACKGROUND","[Inicio del video N.° 1797.]","BACKGROUND"
"El señor Enrique Chirinos","Mira, a mi juicio la candidatura de Fujimori es in contenible, no hay peso, no hay perjuicio, va a ganar. El problema está a nivel par lamentario...","CHIRINOS"
"El señor Vladimiro Montesinos","Ya.","MONTESINOS"
"El señor Enrique Chirinos","... porque la última encuesta le da la victoria en pri mera vuelta.","CHIRINOS"
"El señor Vladimiro Montesinos","Así es.","MONTESINOS"
"El señor Enrique Chirinos","Y a su lista 32% o 35%.Entonces, va a ser un conjunto de gente en minoría en el Congreso. Eso plantea mayores problemas. Problema N.° 1: se pueden tirar contra Fuji, malearse contra Fuji y querer acusarlo constitucionalmente; o contra ti, como lobos, se van a tirar.","CHIRINOS"
"El señor Vladimiro Montesinos","Lógico.","MONTESINOS"
"El señor Enrique Chirinos","Serán 40 ó 50. Yo puedo ser útil en ambos casos.","CHIRINOS"
"El señor Vladimiro Montesinos","Ya.","MONTESINOS"
"El señor Enrique Chirinos","Ayudar. Nadie, nadie te ha defendido a ti así como yo.","CHIRINOS"
"El señor Vladimiro Montesinos","Me consta.","MONTESINOS"
"El señor Enrique Chirinos","Siempre, siempre. Y en toda circunstancia difícil de este régimen, Ley Cantuta...","CHIRINOS"
"El señor Vladimiro Montesinos","Claro.","MONTESINOS"
"El señor Enrique Chirinos","Donde tú me has llamado, yo he estado.","CHIRINOS"
"El señor Vladimiro Montesinos","El Tribunal Constitucional.","MONTESINOS"
"El señor Enrique Chirinos","El Tribunal... me tiré al Tribunal Constitucional.","CHIRINOS"
"El señor Vladimiro Montesinos","Claro. ¡Cuidado nos arrepentimos con eso!","MONTESINOS"
"El señor Enrique Chirinos","No. Yo feliz.","CHIRINOS"
"El señor Vladimiro Montesinos","Sí.","MONTESINOS"
"El señor Enrique Chirinos","Entonces, yo quiero ir con el Presidente.","CHIRINOS"
"El señor Vladimiro Montesinos","¿En la lista?","MONTESINOS"
"El señor Enrique Chirinos","En la lista.","CHIRINOS"
"El señor Vladimiro Montesinos","Perfecto.","MONTESINOS"
"El señor Enrique Chirinos","En la lista de él. No contra él.","CHIRINOS"
"El señor Vladimiro Montesinos","Perfecto.","MONTESINOS"
"El señor Enrique Chirinos","Ni tampoco en una lista intermedia, tipo Renovación.","CHIRINOS"
"El señor Vladimiro Montesinos","No, no, no.","MONTESINOS"
"El señor Enrique Chirinos","Que no va a ninguna parte.","CHIRINOS"
"El señor Vladimiro Montesinos","Ahora están sin rumbo estos patas.","MONTESINOS"
"E! señor Enrique Chirinos","La gente se ha polarizado y se ha puesto más con Fuji o contra Fuji.","CHIRINOS"
"El señor Vladimiro Montesinos","Así es. No hay término intermedio.","MONTESINOS"
"El señor Enrique Chirinos","Yo, ya he hecho una exploración.","CHIRINOS"
"El señor Vladimiro Montesinos","Ya.","MONTESINOS"
"El señor Enrique Chirinos","Con Carlos Torres y Torres. Y la respuesta del Presidente, muy favorable, se ha expresado muy bien de mí y todo. Pero, no hemos formalizado nada.","CHIRINOS"
"El señor Vladimiro Montesinos","Ya.","MONTESINOS"
"El señor Enrique Chirinos","Yo quiero formalizarlo a través de ti.","CHIRINOS"
"El señor Vladimiro Montesinos","Perfecto, mejor camino.","MONTESINOS"
"El señor Enrique Chirinos","Hacer una triple alianza, digo.","CHIRINOS"
"El señor Vladimiro Montesinos","Claro.","MONTESINOS"
