speaker	speech	speaker_std
Background	 Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DE LOS VÍDEOS Núms. 880 Y 881 (María Luisa Cuculiza Torre, Briones Dávila, Vladimiro Montesinos Torres y Alberto Fujimori Fujimori) 29 DE ABRIL DE 1998 —Hacen su ingreso, la señora María Cuculiza Torre, el General Briones Dávila y el señor Vladimiro Montesinos Torres.	BACKGROUNDUNIDENTIFIED
El señor MONTESINOS TORRES.—	 Aquí estamos pues, para (ininteligible).	MONTESINOS
El señor BRIONES DÁVILA.—	 Ahora, mira aquí, como te decía yo ayer, la alcaldesa solamente desea participar, intentar (Ininteligible).	DAVILA
El señor MONTESINOS TORRES.—	 Ya el Presidente le va a decir ahora, ya una voz autorizada, pero le voy anticipando. Él le tiene, usted sabe, un gran aprecio, una gran simpatía y una gran admiración en la doble función, primero de dama y después de representante del pueblo. Entonces, en innumerables oportunidades hemos conversado y yo lo he escuchado hablar, y siempre cuando se ha referido a su persona ha vertido expresiones de mucho aprecio, de mucha admiración. Entonces dice cómo no tenemos dos, tres o cuatro o cinco alcaldesas aquí en Lima que tuvieran el crédito y el coraje, la valentía y lo que le falta a muchos hombres que la señora tiene, que es el coraje. Entonces eso es muy importante. Y en el momento actual, y dada la coyuntura como se presenta, entonces un aporte de usted es significativo para lo que es el binomio de lo que debe suceder en estos momentos en la Capital, con el Gobierno Central. O sea, dentro de un momento, y haciendo ya una especie de balance de lo que ha pasado en la actual gestión, ese divorcio no ha beneficiado ni a uno ni a otro, entonces es necesario establecer una simbiosis. Y eso qué significa, que a partir de octubre de este año el Gobierno Central quiere darle la máxima colaboración a la municipalidad. ¿Para qué? Para que la Capital tenga el  beneficios de una buena gestión edilicia y de una buena cooperación con el Gobierno Central. Entonces, la posición del Presidente va para arriba.	MONTESINOS
La señora CUCULIZA TORRE.—	 Si vinieran peleaderas no va a ir a ningún sitio y los únicos que van a sufrir son los vecinos.	CUCULIZA
El señor MONTESINOS TORRES.—	 Los vecinos son los que está pagando las consecuencias. Estamos en esta cuestión de enfrentamientos, del otro año. Inclusive hemos tenido un diálogo alturado con el señor Andrade, hemos tenido una oportunidad de hablar.	MONTESINOS
La señora CUCULIZA TORRE.—	 Un acercamiento.	CUCULIZA
El señor MONTESINOS TORRES.—	 Un acercamiento, pero él es un hombre, cómo se llama, usted lo conoce mejor que yo. Yo no tengo mucha oportunidad de ver, digamos (Ininteligible), ver, hemos conversado, he tenido varios (Ininteligible) de conocer su perfil, pero por las informaciones que tengo de él. Primero que, sin hablar mal de nadie, porque no me gusta hablar de nadie porque es inocente, pero es un hombre con profundas limitaciones como para tener la condición de un estadista. O sea, no tiene la dimensión, ha llegado a un techo. Todos los seres humanos tenemos un techo.	MONTESINOS
La señora CUCULIZA TORRE.—	 Así es.	CUCULIZA
El señor MONTESINOS TORRES.—	 Y él ha llegado al techo. Y la sociedad peruana en el siglo XXI requiere de una continuidad en la obra de gobierno en la cual llegue un hombre que tenga la capacidad de poder mantener el liderazgo y la autoridad en el país.	MONTESINOS
La señora CUCULIZA TORRE.—	 Claro.	CUCULIZA
El señor MONTESINOS TORRES.—	 Esta persona, lamentablemente, no reúne esas condiciones.	MONTESINOS
La señora CUCULIZA TORRE.—	 No.	CUCULIZA
El señor MONTESINOS TORRES.—	 Y lo que es más grave, que los hombres que nos rodean.	MONTESINOS
La señora CUCULIZA TORRE.—	 Me va a decir a mí.	CUCULIZA
El señor MONTESINOS TORRES.—	 Qué cosa le digo ahí, tiene un hombre Portilla, Amprimo.	MONTESINOS
La señora CUCULIZA TORRE.—	 El Amprimo, justo lo que veníamos hablando.	CUCULIZA
El señor MONTESINOS TORRES.—	 (Ininteligible) y está Suáres Ferreyros que está ahí.	MONTESINOS
El señor BRIONES DÁVILA.—	 El que está ahora, ese es un sinvergüenza.	DAVILA
El señor MONTESINOS TORRES.—	 Amprimo es un sinvergüenza, porque (Ininteligible).	MONTESINOS
El señor BRIONES DÁVILA.—	 Ladrón, ladrón.	DAVILA
La señora CUCULIZA TORRE.—	 ¿El que me digiste ahorita, cómo se llama, este antipático que fue congresista?	CUCULIZA
El señor BRIONES DÁVILA.—	 Ah, el Ocharan.	DAVILA
El señor MONTESINOS TORRES.—	 Ah, Ocharan, o al menos intentaba un Chirinos, o sea todita la gente así negativa ha cerrado toda la...	MONTESINOS
La señora CUCULIZA TORRE.—	 No entiende, no entienden.	CUCULIZA
El señor MONTESINOS TORRES.—	 Y esa es la gente que lo asesora, entonces ahora qué cosa es.	MONTESINOS
La señora CUCULIZA TORRE.—	 Andrade, de acá a seis meses atrás es totalmente otro.	CUCULIZA
El señor MONTESINOS TORRES.—	 Ha variado, o sea que ha sufrido una metamorfosis.	MONTESINOS
La señora CUCULIZA TORRE.—	 Tiene expresiones tan grotescas, burlonas, como usted dice cachaciento. Trata de rebajar a la persona como persona, y esas cosas, así no se avanza.	CUCULIZA
El señor MONTESINOS TORRES.—	 No, pues, pero por supuesto, porque hay que actuar con un sentido positivo y no un sentido negativo, entonces. Y él, digamos, tiene una fijación, como se llama esto, de que ya es una persona que las condiciones, ataca a la Fuerza Armada sistemáticamente. (2)	MONTESINOS
La señora CUCULIZA TORRE.—	 Desprestigiando.	CUCULIZA
El señor BRIONES DÁVILA.—	 A las instituciones.	DAVILA
El señor MONTESINOS TORRES.—	 Ataca a las instituciones, trata de desestabilizar. Ahora, con la creación de esta fuerza paramunicipal y que no le hemos hecho absolutamente nada, porque inclusive de acuerdo a ley ellos deben ser juzgados por el Fuero Privativo Militar. Los militares de este país por leyes toda fuerza organizada que tenga un comando centralizado está sujeto al Fuero Privativo, no le hemos aplicado el Fuero Privativo para no decir que están abusando, porque imagínese, yo tengo ya 3 mil hombres como organización, equipo, comunicaciones y ya es una fuerza de choque, entonces qué implica, tiene que haber alguien que haga un juzgamiento de esa fuerza, entonces ellos están bajo la competencia del Fuero Privativo Militar. No se ha querido aplicar (ininteligible).	MONTESINOS
La señora CUCULIZA TORRE.—	 Porque peor víctima.	CUCULIZA
El señor MONTESINOS TORRES.—	 Claro. Hay una cuestión de quién está discutiendo el tema de la Seguridad Ciudadana. No tiene una noción del problema de la Seguridad Ciudadana. No es un problema de delincuencia. En este momento la Seguridad Ciudadana debe organizarse.	MONTESINOS
La señora CUCULIZA TORRE.—	 Un crimen organizado.	CUCULIZA
El señor MONTESINOS TORRES.—	 Un crimen organizado. Ketín tiene una peligrosidad mayor que la del terrorismo y narcotráfico. ¿Por qué? Porque en este momento está generando una situación de inseguridad total en las personas naturales. El Perú empieza nuevamente a convertirse, ah, y concretamente (ininteligible).	MONTESINOS
La señora CUCULIZA TORRE.—	 Así es. ¿(Ininteligible) a quién va a traer? A Luis (ininteligible).	CUCULIZA
El señor MONTESINOS TORRES.—	 Ya tiene que entender. Inclusive este es un problema de Seguridad Nacional, ya no es un problema de serenidad.	MONTESINOS
