speaker	speech	speaker_std
Background	 Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DEL AUDIO DE LOS CD Núms. 1290A - 1290B - 1289 “REUNIÓN DR. - CONGRESISTA CARLOS FERRERO” 31 DE DICIEMBRE DE 1998	KOURI
El señor MONTESINOS TORRES.—	 Acabo de hablar con el Presidente.	MONTESINOS
"El señor	.—"	 Sí.	SENOR
El señor MONTESINOS TORRES.—	 Le he leído el comunicado...¿qué tal, hermano!... le he leído, me ha dicho que se lo pase. Ya ha declarado ya el presidente.	MONTESINOS
"El señor	.—"	 ¡Ah! Ya, ya.	SENOR
El señor MONTESINOS TORRES.—	 Ha declarado. Me dice: “Yo he declarado contundente que eso es absolutamente falso, que no hay ningún arresto del general Hermoza, que él está en el extranjero, no hay ninguna investigación y que todo el proceso de cambio y de ascensos se ha enmarcado dentro de lo que dan los lineamientos y las decisiones del comando y son de carácter institucional”. Eso es lo que me ha dicho “yo he declarado fuerte...	MONTESINOS
"El señor	.—"	 ¿Ah!, ni hablar, hermano.	SENOR
El señor MONTESINOS TORRES.—	 y que los medios antes de publicar deberían verificar”, eso es lo que dice el Presidente. ¿Ah?	MONTESINOS
"El señor	.—"	 (ininteligible) extraoficialmente.	SENOR
El señor MONTESINOS TORRES.—	 Claro	MONTESINOS
"El señor	.—"	 Extraoficial.	SENOR
El señor MONTESINOS TORRES.—	 Entonces ya le agregué la palabra “deberían ser sometidos a investigación”. Bueno, pero eso es parte. El Presidente “quiero leerlo”, me dice, esperemos.	MONTESINOS
"El señor	.—"	 Ya solucioné...	SENOR
El señor MONTESINOS TORRES.—	 ¿De los dos?	MONTESINOS
"El señor	.—"	 Sí.	SENOR
El señor MONTESINOS TORRES.—	 Nunca hubo nada, ya lo dije.	MONTESINOS
"El señor	.—"	 Nunca hubo nada, borrón cuenta nueva...	SENOR
El señor MONTESINOS TORRES.—	 Sí	MONTESINOS
"El señor	.—"	 Tienen ustedes sus memorándums.	SENOR
El señor MONTESINOS TORRES.—	 Sí.	MONTESINOS
"El señor	.—"	 El único que tenía el Colorao...	SENOR
El señor MONTESINOS TORRES.—	 Sí.	MONTESINOS
"El señor	.—"	 ... tenía su memorándum, lo único que le han dado. Acá están las copias de las resoluciones.	SENOR
El señor MONTESINOS TORRES.—	 No, no, y hay que (ininteligible) toditas.	MONTESINOS
"El señor	.—"	 Las he traído (ininteligible) una indemnización.	SENOR
El señor MONTESINOS TORRES.—	 No, no. es que ahorita voy a decir que me traigan el original acá	MONTESINOS
"El señor	.—"	 También le he dicho a (ininteligible) que vele todas la foto de la ceremonia.	SENOR
El señor MONTESINOS TORRES.—	 Sí, vélalas toditas.	MONTESINOS
"El señor	.—"	" Como ha cambiado una ceremonia y allí en la ceremonia están los nombres de estos muchachos, también que	(ininteligible) recoja de Protocolo eso."	SENOR
El señor MONTESINOS TORRES.—	 No queda nada.	MONTESINOS
"El señor	.—"	 Inclusive el libreto del maestro.	SENOR
El señor MONTESINOS TORRES.—	 No queda nada, porque a la larga van a enterarse y van a decir como nunca pasó nada, no pasó nada. Ellos están felices.	MONTESINOS
"El señor	.—"	 como te digo, le invité un agua mineral (ininteligible). Me dice (ininteligible)	SENOR
El señor MONTESINOS TORRES.—	 Así es.	MONTESINOS
"El señor	.—"	 Después conmigo ya amistad y otro tipo de relaciones.	SENOR
El señor MONTESINOS TORRES.—	 Claro, lógico Claro el Rejas es medio malandrín. Tú sabes qué cosa, que tenían todos los negociados. ¿El (ininteligible) qué hacía? Agarraba y lo metía en todos los negocios para vender, cómo se llama esto, artículos de pan llevar en la Carretera Central, hermano. Entonces, venían (ininteligible)	MONTESINOS
"El señor	.—"	 Sí, sí, sí.	SENOR
El señor MONTESINOS TORRES.—	 Eso hacía. Por eso que todo el día a él lo tenían como supuestamente en la zona, tenían batallones ahí en el esto, con el pretexto daba cuenta que estaba allá. Entonces, para los oficiales (ininteligible) él estaba (ininteligible), hermano, manejándole todo el negocio de la Carretera. Y es un montón de chacras y cosas y por eso vino el negocio, nunca hacía nada; pero, el tema está en que este pata, nos guste o no nos guste, es un símbolo en el tema, es la foto que ha dado la vuelta al mundo. Entonces, ¿qué pasa si entonces qué pasa si este cojudo aparece de civil, cómo este pata, carajo, nadie va a entender eso, nadie va a entender que es un trabajador...	MONTESINOS
"El señor	.—"	 Puede perjudicar todo.	SENOR
El señor MONTESINOS TORRES.—	 Nadie va a entender que es un malandrín. Se nota es un malandrín. Nuevamente, acá tenemos que hacernos los cojudos, para nosotros nunca pasó. Yo, pues, ahorita llamo al presidente. Le he dicho: “Por si acaso, de Chavín de Huántar no pasó ninguno al retiro”, “¿Seguro?”. “¿Puedo declarar así?” “Declare usted así”. Entonces, ya no hay ningún problema, Lo llamó a Salazar,, Salazar está en la (ininteligible), hermano. Lo ha agarrado todavía en su casa durmiendo. Tú sabes que (ininteligible) y me llama el presidente, me dice “¡quiénes son esos que han salido en La República”, me dice. “Sabes qué, ¿qué vas hacer con lo de República?” “Bueno, no sé, señor Presidente, recién voy a ir a enterarme”. Entonces el Presidente ayer me llama y me dice se ha (ininteligible) se ha venido tarde, me dice	MONTESINOS
"El señor	.—"	 A la hora que me llamaste ya (ininteligible) conmigo. Porque él estuvo conmigo temprano.	SENOR
El señor MONTESINOS TORRES.—	 Ya.	MONTESINOS
"El señor	.—"	 Le digo: mira, hermano, esto hay que dirigirlo con un comunicado, justo me llama.	SENOR
El señor MONTESINOS TORRES.—	 Si. No, puta, yo he puteado acá como mierda, hermano. Sabes por qué te digo, porque, carajo, ¿dónde me he enterado yo de la cojudez? Viniendo en desplazamiento en un kiosco de periódico. Concha su madre, los he puteado acá como mierda, porque eso a las 7 de la mañana me han debido decir...	MONTESINOS
"El señor	.—"	 Sí.	SENOR
El señor MONTESINOS TORRES.—	 Porque a las 7 nos hubieran dicho, yo te hubiera llamado, los hubiera llamado a las 7 y ya estaría el comunicado afuera, hermano. Mira, nos hemos demorado medio día en la huevada.	MONTESINOS
