speaker	speech	speaker_std
Background	 Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DEL VÍDEO N.° 1189 “REUNIÓN DR. - BOROBIO GUEDE - HURTADO MILLER” DEL 2 DE AGOSTO DE 1998 —Al inicio de este vídeo los señores Hurtado Miller y Borobio Guede sostienen una conversación de aproximadamente 5 minutos que no es audible.	BACKGROUND
El señor BOROBIO GUEDE.—	 (?) bueno.	BOROBIO
El señor HURTADO MILLER.—	 ... Pero Lucho Bedoya ha sido un golazo de media cancha.	HURTADO MILLER
El señor BOROBIO GUEDE.—	 Sí.	BOROBIO
El señor HURTADO MILLER.—	 extraordinario. Además, lo trae al papá. Se supone que el papá, el papá es consejero de Andrade, se supone.	HURTADO MILLER
El señor BOROBIO GUEDE.—	 No. No lo es, yo conozco.	BOROBIO
El señor HURTADO MILLER.—	 Bueno, la gente habla, dice  de que es su consejero. Bueno, entonces, eso sería un golazo y un golpe fuerte para Andrade. Carajo, lo va a hacer tambalear. No se habla con Andrade.	HURTADO MILLER
El señor BOROBIO GUEDE.—	 Sí, hay una pelea de la puta madre. Amiel también está por ahí suelto.	BOROBIO
El señor HURTADO MILLER.—	 No, hablé con él, pero no tiene jale, pues, Lucho.	HURTADO MILLER
El señor BOROBIO GUEDE.—	 Pero puede ir con un puesto.	BOROBIO
El señor HURTADO MILLER.—	 Ah sí, es pata mío. El domingo estuve (?) con él.	HURTADO MILLER
El señor BOROBIO GUEDE.—	 Creo que debería, yo creo que debería ir este pata en algún lugar, yo lo recomendaría.	BOROBIO
El señor HURTADO MILLER.—	 Sí, lo que pasa es que no va a querer ir muy abajo, va a querer el número 3 ó 4.	HURTADO MILLER
El señor BOROBIO GUEDE.—	 Y puede ir 4.	BOROBIO
El señor HURTADO MILLER.—	 Es una lista de 45.	HURTADO MILLER
El señor BOROBIO GUEDE.—	 Bueno, mire, vamos a ver primero esto.	BOROBIO
El señor HURTADO MILLER.—	 Ya.	HURTADO MILLER
El señor BOROBIO GUEDE.—	 ¿Le parece? Y le voy a describir algunas conclusiones.	BOROBIO
El señor HURTADO MILLER.—	 A ver.	HURTADO MILLER
El señor BOROBIO GUEDE.—	 Obviamente, éstas son conclusiones previas, porque los estudios no han terminado, pero a mí me marcan una tendencia de lo que sucede. Esto, los primeros focus realizados nos indican que Andrade tiene problemas en su barra cualitativa. ¿Recuerda cuando  el otro día le expliqué lo que es lo cuantitativo y lo cualitativo.	BOROBIO
