speaker	speech	speaker_std
Background	 Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DE LOS VÍDEOS Núms. 910 y 911 JAVIER VALLE  RIESTRA Y VLADIMIRO MONTESINOS TORRES 15 DE JUNIO DE 1998 —Grabación ininteligible empezada.	BACKGROUNDUNIDENTIFIED
El señor MONTESINOS TORRES.—	 El análisis jurídico que ellos podrían hacerlo de motu propio y lo que son las realidades, una derogatoria de la Ley en estos momentos  de Interpretación, necesitaría un pie de entrada, como decía Arquímedes:  “Dame la palanca para poder entrar” . Entonces, ellos no podrían tener en esos momentos tener esa palanca,  porque  ¿en base  a qué pueden decir?, en base normalmente a la voluntad de la persona de inscribirse y de presentar si no hay un basamento jurídico.	MONTESINOS
El señor VALLE RIESTRA GONZALES OLAECHEA.—	 El basamento jurídico es la propia Constitución.	VALLE RIESTRA
El señor MONTESINOS TORRES.—	 Claro.	MONTESINOS
El señor VALLE  RIESTRA GONZALES OLAECHEA.—	 Y  no se quede en impedimento, usted puede dirigir una carta equis o una carta zeta.	VALLE RIESTRA
El señor MONTESINOS TORRES.—	 Pero, entonces, ahí está el tema.	MONTESINOS
El señor VALLE RIESTRA GONZALES OLAECHEA.—	 Y con eso (ininteligible) se acabó el referéndum.	VALLE RIESTRA
El señor MONTESINOS TORRES.—	 Bueno, el referéndum no es un tema que realmente preocupe.	MONTESINOS
El señor VALLE  RIESTRA GONZALES OLAECHEA.—	 No, pero puede llegar a tener las firmas en un momento determinado y convocar a un referéndum.	VALLE RIESTRA
El señor MONTESINOS TORRES.—	 Pero el referéndum  (ininteligible) si usted lee el artículo 32.° de la Constitución, dice que no procede el referéndum (ininteligible) constitucionalmente no procede el referéndum.	MONTESINOS
El señor VALLE  RIESTRA GONZALES OLAECHEA.—	 ¿Quién va a decir eso?	VALLE RIESTRA
El señor MONTESINOS TORRES.—	 Ah, el organismo pertinente, porque el referéndum está orientado exclusivamente. (ininteligible) Yo lo sé, pero por eso como se llama el tema está,  tan no presentan las firmas. (Ininteligible) Por eso es que no las han presentado. Acá ¿qué cosa es lo que nos interesa en esos momentos? Yo tengo la última encuesta de día, el pueblo (ininteligible) no le interesa el referéndum, no le interesa la Ley de Interpretación, no le interesa el Poder Judicial, no le interesa el Ministerio Público, no le interesa Aljovín, no le interesa Blanca Nélida  Colán, (2) ¿cuál es el problema número uno? El 64.1 dice empleo, trabajo y pobreza eso es lo que la gente quiere. Entonces el estadista qué tiene brindar, tiene que brindar sus vidas maestras para tratar de solucionar los problemas. El resto, es un elemento subsecuente o subsidiario. Hablando la contradicción principal y el aspecto principal de la contradicción es (risas). La contradicción principal es el (ininteligible)  Por eso que el presidente sale, anuncia y dice: “vamos a ir a la reconstrucción nacional, porque este es una fórmula de nombrar, tratar y luchar contra el subempleo”. Entonces dice el Presidente yo lo que quiero es aprender a lograr, ya dijo un término y lo ha dicho todo el mundo, no ha definido si va a lanzarse o no va a lanzarse, por qué  especulamos él dice ahorita. Déjeme trabajar, entonces un juez sale a decir dejen trabajar al presidente, (inteligible) ¿Cuál es una profesión ahorita? Luchar por la generación de empleo, luchar contra la pobreza, luchar contra el tema de la reconstrucción. El fenómeno asiático también nos está golpeando a nosotros en términos económicos, ahora hay una atención en el tema de la pesca, es una fuente de financiación de ingresos al país, entonces estamos en unos cuatro o cinco meses difíciles, pero qué pasa, felizmente el buen manejo de la política económica producido que el Estado tenga los recursos para poder apañar estas circunstancias. Imagínese si no se hubieran tomado las previsiones en el fenómeno del Niño, cuánto hubiera sido el daño. (diálogo). Entonces hay que darles  mensajes positivos.	MONTESINOS
El señor VALLE RIESTRA GONZALES OLAECHEA.—	 Una parte positiva (ininteligible) opinión de los demás.	VALLE RIESTRA
El señor MONTESINOS TORRES.—	 Claro, así es.	MONTESINOS
El señor VALLE RIESTRA GONZALES OLAECHEA.—	 (ininteligible).	VALLE RIESTRA
El señor MONTESINOS TORRES.—	 Así es, claro, es un tecnócrata, pero que lamentablemente son técnicos, porque sino tendríamos que poner unos políticos al Ministerio.	MONTESINOS
El señor VALLE RIESTRA GONZALES OLAECHEA.—	 O un Gabinete tecnócrata (risas).	VALLE RIESTRA
El señor MONTESINOS TORRES.—	 El tema de electricidad, quien maneja el tema rutas, de como le digo tarifas eléctricas, quien maneja el tema micros, esas cosas tiene que manejar los técnicos, son detalles que no la podemos manejar los que estamos en el quehacer político.	MONTESINOS
"El señor		.—"	 Entonces, tenemos, objetivamente le digo así como yo pienso la posición de usted hasta el día de hoy parece correcto, la veo positiva. Con una que otra cosa como lo que pasó con el tema (diálogo) fue positivo, eso digamos, es una cosa suena tranquilo, no se ha generado, no le ha atacado nadie del oficialismo  pero en otras circunstancias con una declaración, contra la reelección,  hubiera saltado la bancada, hubiera saltado la bancada del Congreso, de hecho hubiera dicho estamos totalmente en desacuerdo, nosotros como Congreso hemos dado la ley. (ininteligible)	SENOR
El señor VALLE RIESTRA GONZALES OLAECHEA.—	 De ecuanimidad, de estoicismo.	VALLE RIESTRA
El señor MONTESINOS TORRES.—	 En las Fuerzas Armadas nadie habla una palabra, todo el mundo está cuadrado en silencio, nadie comenta nada, entonces, eso es un sistema que hay aceptación, sino hubiese venido las presiones, como es esto.	MONTESINOS
El señor VALLE RIESTRA GONZALES OLAECHEA.—	 Bueno, debe haber disgusto.	VALLE RIESTRA
El señor MONTESINOS TORRES.—	 Si hay disgusto ya no sería necesario decir, no están contento 100%, obviamente  tiene que generar disgustos, pero son disgustos manejables, ese es una cosa como rabieta. No, ese un coraje, ese es un coraje, es un coraje, que todo el mundo (3) puede reaccionar por virilidad y hombría, que no lo ha hecho nadie en la historia de la República	MONTESINOS
El señor VALLE RIESTRA GONZALES-OLAECHEA.—	 A este paso.	VALLE RIESTRA
El señor MONTESINOS TORRES.—	 Claro. Entonces, esas cosas positivas ahora. Estamos viendo, por ejemplo ayer la entrevista que le hace Lúcar al chico Del Pomar.	MONTESINOS
El señor VALLE RIESTRA GONZALES-OLAECHEA.—	 ¿Y el chico, qué dice?	VALLE RIESTRA
