speaker	speech	speaker_std
Background	 Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DE LOS VIDEOS Núms. 1601 y 1602 “REUNIÓN DOCTOR – LUIS BEDOYA” DEL 5 DE JULIO DE 1999 —Se encuentran en la sala el señor Luis Bedoya de Vivanco y el señor Tomás Gonzales Reátegui; luego se aprecia la presencia del señor Vladimiro Montesinos Torres sin la presencia del señor Tomás Gonzales Reátegui.	KOURI
"El señor BEDOYA DE VIVANCO	.—"	 ¿Cómo te va?	MONTES DE OCA
El señor GONZALES REATEGUI.—	 Bien.	SENOR
El señor MONTESINOS TORRES.—	 Ante todo el familiar que era algo más importante, el espectáculo bochornoso que dieron los dos.	MONTESINOS
El señor BEDOYA DE VIVANCO.—	 Que vergüenza. 	MONTES DE OCA
El señor MONTESINOS TORRES.—	 Perdiendo los papeles y además el hermano mayor básicamente hizo el Referéndum, o una especie de Referéndum Nacional.	MONTESINOS
"El señor BEDOYA DE VIVANCO	.—"	 Siempre dijo que había ganado el gobierno, hizo la vinculación de toda su deuda.	MONTES DE OCA
El señor MONTESINOS TORRES.—	 Y la infamia de hacer el volante, imagínese.	MONTESINOS
"El señor BEDOYA DE VIVANCO	.—"	 Eso me ha restado varios puntos.	MONTES DE OCA
El señor MONTESINOS TORRES.—	 Pero por supuesto, pero lo han hecho con una mala leche y una actitud perversa, o sea, nos están demostrando lo que son capaces de hacer.	MONTESINOS
"El señor BEDOYA DE VIVANCO	.—"	 Son maestros de las malas artes	MONTES DE OCA
El señor MONTESINOS TORRES.—	 Claro, y se quejan de que son víctimas, que a ellos le paran haciendo la guerra sucia, tenemos una confrontación, y yo he sido testigo de lo que es realmente la guerra sucia de esta gente, o sea que sabemos que es una persona que no tiene nivel para entrar a una contienda, ninguno de los dos, sino a golpes bajos. Imagínese, eran las 3 y pico y estaban todos festejando, bailando, ya habían armado la movilización.	MONTESINOS
"El señor BEDOYA DE VIVANCO	.—"	 En base a su encuesta, habían ordenado buffett.	MONTES DE OCA
El señor MONTESINOS TORRES.—	 Todo habían ordenado realmente, en fin eso a nivel de opinión pública, lo ha pintado de cuerpo entero, no es una persona que tiene las condiciones para ser un estadista, ni mucho menos.	MONTESINOS
El señor BEDOYA DE VIVANCO .—	 Yo creo que ahora se ha despintado más que antes.	MONTES DE OCA
El señor MONTESINOS TORRES.—	 Más que antes, yo creo que este evento ha servido precisamente para...	MONTESINOS
El señor BEDOYA DE VIVANCO.—	 Lo ha puesto en evidencia.	MONTES DE OCA
El señor MONTESINOS TORRES.—	 Ha puesto en evidencia, las carencias y los vacíos, la falta de candidatos, muchas veces se ha tratado de suplir con picardía, la criollada, un tipo, y esas cosas, además, perdieron los papeles.	MONTESINOS
