speaker	speech	speaker_std
Background	 Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DE LOS VÍDEOS Núms. 888 Y 889, DEL 3 DE MAYO DE 1998 —El señor Alipio Montes de Oca espera en la sala. —El señor Vladimiro Montesinos ingresa a la sala.	KOURI
El señor MONTESINOS TORRES.—	 Hola, hermano. ¡Qué ha sido de tu vida!	MONTESINOS
El señor MONTES DE OCA.—	 Tú te olvidas de los amigos, oiga. ¡Qué pasa!	MONTES DE OCA
El señor MONTESINOS TORRES.—	 Tú te vas a Arequipa.	MONTESINOS
El señor MONTES DE OCA.—	 Tuve que irme, pues. Son tan malos los oftalmólogos de acá, así que me fui a Arequipa, pues, compadre.	MONTES DE OCA
El señor MONTESINOS TORRES.—	 ¿Ah?	MONTESINOS
El señor MONTES DE OCA.—	 Son tan malos los oftamlólogos de acá, que me fui a Arequipa.	MONTES DE OCA
El señor MONTESINOS TORRES.—	 ¿Cuánto tiempo has estado allá?	MONTESINOS
El señor MONTES DE OCA.—	 (Ininteligible).	MONTES DE OCA
El señor MONTESINOS TORRES.—	 (Ininteligible) un problema del ojo.	MONTESINOS
El señor MONTES DE OCA.—	 (Ininteligible) Me voy al Hospital Almenara (ininteligible) dos semanas (ininteligible) al ojo. Me fui a la cama dos semanas de reposo.	MONTES DE OCA
El señor MONTESINOS TORRES.—	 Con un ojo fregado.	MONTESINOS
El señor MONTES DE OCA.—	 No podía leer, no podía hacer nada.	MONTES DE OCA
El señor MONTESINOS TORRES.—	 ¿Ni ver televisión ni nada?	MONTESINOS
El señor MONTES DE OCA.—	 Nada. Salí de vacaciones y a las dos semanas me salgo a la calle a manejar carro, no a manejar, sino salí en mi carro un rato	MONTES DE OCA
El señor MONTESINOS TORRES.—	 ¿Con un ojo?	MONTESINOS
