speaker	speech
Background	"Departamento  de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DEL VÍDEO N.° 866 ‘‘ALEX – ABSALÓN — LUZ Y DR.’’ 15 DE ENERO DE 1998 —Se aprecia una sala donde hay un sofá, dos muebles, un puff, una mesa de centro, una puerta colateral al medio del ambiente, un cuadro colgado arriba del sofá, dos mesas esquineras y dos plantas. Al fondo se observa una mesa, 5 sillas y un cuadro colgado en la pared . —El mozo ingresa a la Sala donde se encuentra la congresista Luz Salgado Rubianes de Paredes y el señor Absalón Vásquez Villanueva."
El señor Mozo.—	 Permiso. Buenas tardes.
La señora SALGADO RUBIANES DE PAREDES.—	" Una agüita mineral con hielo, nada más; o ¿tiene un juguito?"
El señor Mozo.—	" Sí, también."
La señora SALGADO RUBIANES DE PAREDES.—	 ¿De qué?
El señor Mozo.—	" Piña, naranja, papaya"
La señora SALGADO RUBIANES DE PAREDES.—	 Piña con papaya.
El señor Mozo.—	 ¿Y el señor?
El señor VÁSQUEZ VILLANUEVA.—	 (Inintelegible)
Background	—El mozo se retira de la sala .
El señor VÁSQUEZ VILLANUEVA.—	 Qué tal te parece  (Inintelegible)
La señora SALGADO RUBIANES DE PAREDES.—	 En esto no va a atracar
El señor VÁSQUEZ VILLANUEVA.—	" ¿Ah?, ¿cuál?"
La señora SALGADO RUBIANES DE PAREDES.—	 Me parece.
El señor VÁSQUEZ VILLANUEVA.—	 ¿Cuál?
La señora SALGADO RUBIANES DE PAREDES.—	 El proyecto.
El señor VÁSQUEZ VILLANUEVA.—	 ¿Ah?
La señora SALGADO RUBIANES DE PAREDES.—	 Lo de los personeros (Inintelegible)
El señor VÁSQUEZ VILLANUEVA.—	" (Inintelegible) con participación literal, se ha demostrado. Todos."
La señora SALGADO RUBIANES DE PAREDES.—	Cambio 90 con conocimiento de (Inintelegible)
El señor VÁSQUEZ VILLANUEVA.—	 Con todos.
La señora SALGADO RUBIANES DE PAREDES.—	" Ah, y que registran todos."
El señor VÁSQUEZ VILLANUEVA.—	 Para nada.
La señora SALGADO RUBIANES DE PAREDES.—	" Ah, ya, está bien."
El señor VÁSQUEZ VILLANUEVA.—	" Ah, no, lógico, porque (Inintelegible)"
La señora SALGADO RUBIANES DE PAREDES.—	" Perfecto, perfecto."
Background	—Ingresa el Coronel Huamán Azcurra. .
El señor VÁSQUEZ VILLANUEVA.—	" ¡Hola!, qué tal."
El señor HUAMÁN AZCURRA.—	" Qué tal, cómo estás."
La señora SALGADO RUBIANES DE PAREDES.—	" ¡Hola!, qué tal, cómo está. Qué dice, cómo le va. Famoso."
El señor HUAMÁN AZCURRA.—	" Ah, no. Por ahí nomás, las malas lenguas dicen que soy famoso. Yo creo que usted es más  famosa que yo, ah."
La señora SALGADO RUBIANES DE PAREDES.—	" Ah, bueno, sí."
El señor HUAMÁN AZCURRA.—	 Usted es la batalladora de toda la parte positiva.
La señora SALGADO RUBIANES DE PAREDES.—	" ¡Ah!, Ahí vamos"
El señor HUAMÁN AZCURRA.—	" ¿Les han servido, por favor?"
La señora SALGADO RUBIANES DE PAREDES.—	 Ya ahorita nos va a traer.
