speaker,speech,speaker_std
BACKGROUND,"﻿Reunión de Dionisio Romero Seminario y Vladimiro Montesinos. (del 22 de junio de 1999). Esta reunión comienza revisando files que, luego se revela, contienen los curriculums de un grupo de funcionarios que Dionisio Romero Seminario está proponiendo como administradores judiciales de las empresas del grupo Hayduk. En ese momento, los directivos de esta empresa afrontaban una acusación por tráfico ilícito de dro gas. Adicionalmente, Romero solicita una disminución del arancel del trigo argu mentando que seria conveniente para bajar el precio del pan y afrontar con éxito las elecciones. Entre ambas citas había sido publicada la entrevista periodística solicitada por VMT en la primera conversación.",BACKGROUND
BACKGROUND,"[En la sala se observa al señor Romero Seminario leyendo una revista, luego aparece un mozo quien le brinda un vaso con bebida; al momento aparece el señor Montesinos Torres quien lo saluda, se sientan en muebles contiguos y revisan documentos de un sobre.]",BACKGROUND
El señor Dionisio Romero Seminario,"Hola, buenos días.",ROMERO SEMINARIO
El señor Vladimiro Montesinos,Buenos días.,MONTESINOS
El señor Dionisio Romero Seminario,Igualmente,ROMERO SEMINARIO
El señor Vladimiro Montesinos,"Igualmente, ¿cómo estás?",MONTESINOS
El señor Dionisio Romero Seminario,"Claro, qué tal (?).",ROMERO SEMINARIO
El señor Vladimiro Montesinos,Muy bien. Siéntate.,MONTESINOS
El señor Dionisio Romero Seminario,Al comparar los nombres (?).,ROMERO SEMINARIO
BACKGROUND,[Inicio del video N.° 1584.],BACKGROUND
El señor Vladimiro Montesinos,Sí.,MONTESINOS
El señor Dionisio Romero Seminario,Vi que hay un error.,ROMERO SEMINARIO
El señor Vladimiro Montesinos,"No, no, (?).",MONTESINOS
El señor Dionisio Romero Seminario,"Sí, sí.",ROMERO SEMINARIO
El señor Vladimiro Montesinos,Es lo que tenía que chequear bien contigo.,MONTESINOS
El señor Dionisio Romero Seminario,"No, lo que dijo en una comunicación que te maneé, usted dijo que no hay nombre malo.",ROMERO SEMINARIO
El señor Vladimiro Montesinos,"Ah, ya, ya, si Vladimiro.",MONTESINOS
El señor Dionisio Romero Seminario,[Risas.] A mí cuando me ponen Dionisio me fastidia. ¿a ti no te fastidia? [Risas.],ROMERO SEMINARIO
El señor Vladimiro Montesinos,"No, [Risas.]",MONTESINOS
El señor Dionisio Romero Seminario,"Y al chequear los nombres digo ""Mira (?) pero ha si do mi secretaria"".",ROMERO SEMINARIO
El señor Vladimiro Montesinos,Ya ves.,MONTESINOS
El señor Dionisio Romero Seminario,"No, la del Banco. Mira explico pues muy bien las de claraciones del presidente al respecto.",ROMERO SEMINARIO
El señor Vladimiro Montesinos,(?) ¿lo viste ayer o no?,MONTESINOS
El señor Dionisio Romero Seminario,Perfecto.,ROMERO SEMINARIO
