speaker	speech	speaker_std
Background	 Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DE LOS VIDEOS Núms. 1568 y 1569 “REUNIÓN DOCTOR - BEDOYA - REÁTEGUI” DEL 12 DE JUNIO DE 1999 —El vídeo se inicia con un breve diálogo entre el señor Luis Bedoya de Vivanco y el señor Tomás Gonzales Reátegui, en voz baja que es inaudible.	KOURI
El señor BEDOYA DE VIVANCO.—	 ... Además, ayer volvió a salir. Yo no lo he visto ninguna de las dos veces, me han contado que ayer volvió a salir la vidente del Programa (?) esa mujer que dijo: “suéltenlo (?)”. Hasta ahora no se ha cumplido.	MONTES DE OCA
Background	—Ingresa a la sala el señor Vladimiro Montesinos Torres.	KOURI
El señor MONTESINOS TORRES.—	 Mi querido Doctor, ¿cómo estamos?	MONTESINOS
El señor BEDOYA DE VIVANCO.—	 Hola.	MONTES DE OCA
El señor MONTESINOS TORRES.—	 Qué gusto de verlo.	MONTESINOS
El señor GONZALES REÁTEGUI.—	 ¿Cómo está?	SENOR
El señor MONTESINOS TORRES.—	 (?) era necesario aperturar el proceso y a usted le convenía. ¿Sabe por qué le digo? Porque ya después eso queda en cosa juzgada, usted lo sabe mejor que yo. Si se da un no ha lugar, mañana más tarde, pasado 1 año, 2 años, 3 años o 5 años no hay prescripción y lo vuelven a lanzar. Ahora, abre el proceso (?) y queda cosa juzgada y usted (?). Creo que era lo más prudente desde el punto de vista de seguridad jurídica suya.	MONTESINOS
El señor GONZALES REÁTEGUI.—	 En esta etapa se encuentran las declaraciones de todos.	SENOR
El señor MONTESINOS TORRES.—	 Sí.	MONTESINOS
El señor GONZALES REÁTEGUI.—	 Yo les pido una excepción.	SENOR
El señor MONTESINOS TORRES.—	 Bueno, ya es excepcional, claro, ya aperturado el proceso, usted puede deducir todas las articulaciones que la ley le confiere y le franquea para dar punto final al proceso. El asunto es no llegar a juicio oral porque es un poco feo pararse ahí a un Tribunal. Eso es. Nada más.	MONTESINOS
El señor GONZALES REÁTEGUI.—	 Ésa es la idea.	SENOR
El señor MONTESINOS TORRES.—	 Ésa es la idea.	MONTESINOS
El señor GONZALES REÁTEGUI.—	 Sí. Aparte de que yo aspiro llegar al Congreso. Tú sabes.	SENOR
El señor MONTESINOS TORRES.—	 Claro, por eso tiene que terminar este proceso antes de octubre.	MONTESINOS
El señor GONZALES REÁTEGUI.—	 Antes de octubre.	SENOR
El señor MONTESINOS TORRES.—	 Con la excepción como le digo.	MONTESINOS
El señor GONZALES REÁTEGUI.—	 Así es, esa es la idea.	SENOR
El señor MONTESINOS TORRES.—	 Está bien, está orientado. Bueno, lo que tenemos que retomar es el tema de Miraflores, doctor, porque tenemos la coincidencia que no debe de salir el fascineroso del Andrade.	MONTESINOS
El señor BEDOYA DE VIVANCO.—	 Así es.	MONTES DE OCA
