speaker	speech
Background	 Departamento de Transcripciones C ONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DEL VÍDEO N.° 1736 “REUNIÓN DR. - EDUARDO CALMELL” DEL 14 DE SETIEMBRE DE 1999 —El señor Montesinos Torres ingresa a una sala y ocupa un sillón forrado de un fino cuero.
El señor CALMELL DEL SOLAR DÍAZ.—	 Señor, le dije a Vicente sobre este comentario.
El señor MONTESINOS TORRES.—	 ¿Qué te dijo él? ¡Ah! Para hacer.
El señor CALMELL DEL SOLAR DÍAZ.—	 Sí, esto es, esto es, hay que pedirle cita (?).
El señor MONTESINOS TORRES.—	 Hay que pedir cita.
El señor CALMELL DEL SOLAR DÍAZ.—	 Claro, tiene que pedir cita.
El señor MONTESINOS TORRES.—	 Ya.
El señor CALMELL DEL SOLAR DÍAZ.—	 Por eso (?) va a venir ese pata acá y se va a ir allá para tener información absolutamente (?).
El señor MONTESINOS TORRES.—	 Claro.
El señor CALMELL DEL SOLAR DÍAZ.—	 Y después esto, yo he dicho (?) una cosa grande, un cuadro de cómo manejamos el camino con esta gente de los programas internacionales. Después me ha llegado, ésta es una invitación de Mónica.
El señor MONTESINOS TORRES.—	 Ya.
El señor CALMELL DEL SOLAR DÍAZ.—	 Invitan a Andrade y a Castañeda.
El señor MONTESINOS TORRES.—	 Para el 30 de este mes.
El señor CALMELL DEL SOLAR DIAZ.—	 Sí, (?). Y esto que les he dicho a ellos para que se inscriban (?) El señor 
MONTESINOS TORRES.—	 Claro, es importantísimo.
El señor CALMELL DEL SOLAR DÍAZ.—	 Porque ahí la campaña puede cambiar (?).
El señor MONTESINOS TORRES.—	 Claro, totalmente.
El señor CALMELL DEL SOLAR DÍAZ.—	 ¿No sé cómo hacen para convencer (?)?
El señor MONTESINOS TORRES.—	 Puede ser.
El señor CALMELL DEL SOLAR DÍAZ.—	 Que al final del día son los que más friegan.
El señor MONTESINOS TORRES.—	 (?).
El señor CALMELL DEL SOLAR DÍAZ.—	 No, eso va a estar toda la SIP el 15 de octubre; entonces, le dije a Vicente que estamos preparando una recopilación para que se pueda actuar si es (?).
El señor MONTESINOS TORRES.—	 Sí.
El señor CALMELL DEL SOLAR DÍAZ.—	 Esta es la última revista, por ejemplo, del (?) cuando la gente (?).
El señor MONTESINOS TORRES.—	 Sí.
El señor CALMELL DEL SOLAR DÍAZ.—	 Puede empezar a aparecer acá.
El señor MONTESINOS TORRES.—	 Claro, (?).
El señor CALMELL DEL SOLAR DÍAZ.—	 Bueno, (?) de la Oficina de Libertad de Expresión y (?).
El señor MONTESINOS TORRES.—	 Ya.
El señor CALMELL DEL SOLAR DÍAZ.—	 Ahí aguanto (?). Fíjense, señores, este es un atentado contra el gobierno.
El señor MONTESINOS TORRES.—	 5 períodos constitucionales.
El señor CALMELL DEL SOLAR DÍAZ.—	 (?). Yo le he puesto en un editorial (?).
El señor MONTESINOS TORRES.—	 (?).
El señor CALMELL DEL SOLAR DÍAZ.—	 Porque cada uno de estos (?).
El señor MONTESINOS TORRES.—	 Pero aparte de eso, cada periódico tiene su derecho a decidir, miren, son basuras. Ha dicho que es una prensa basura, ha dicho así.
El señor CALMELL DEL SOLAR DÍAZ.—	 Dice que en Europa, la gran mayoría de los periódicos es un (?).
El señor MONTESINOS TORRES.—	 Claro.
El señor CALMELL DEL SOLAR DÍAZ.—	 Entonces, en cuanto a los dueños de los periódicos amarillos de allá, que son la mayoría de los periódicos en el mundo, empiecen a sentir que acá se está atacando (?).
El señor MONTESINOS TORRES.—	 (?).
El señor CALMELL DEL SOLAR DÍAZ.—	 Ahí sí salen todas. Pero (?), se quejan cada uno individualmente.
El señor MONTESINOS TORRES.—	 Todo es política, sí. Ahora la afiliación a esa organización ¿cómo va?
El señor CALMELL DEL SOLAR DÍAZ.—	 ¿Para éste?
El señor MONTESINOS TORRES.—	 Sí .
El señor CALMELL DEL SOLAR DÍAZ.—	 Tiene que ser en (?) individual.
El señor MONTESINOS TORRES.—	 Ya.
