speaker	speech
Background	 Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA DE 2000 TRANSCRIPCIÓN DE LOS AUDIOS Núms. 859 Y 860 (Los Audios Núms. 859 y 860 tienen el mismo contenido, y son continuación de los Audios Núms. 858 y 861) ‘‘SR. LUCCHETTI Y DR. - ALMUERZO’’ DEL 10 DE DICIEMBRE DE 1998
El señor MONTESINOS TORRES.—	 Es un, es como vamos a hacer, esto es una maniobra, la acción principal le va a dar el triunfo.
El representante de LUCCHETTI.—	 Correcto.
El señor MONTESINOS TORRES.—	 Pero, la acción de cumplimiento, esto es simplemente una medida de reforzamiento subsidiaria para en el caso de que este triunfo no lo sea contundente y yo pueda tener un elemento de presión, pero si con esto soy lo suficientemente fuerte como decía este inglés, hay que seguir; no tiene que ser sangrienta, sino ...
Background	—Se inicia el Audio  N.° 859
El representante de LUCCHETTI.—	 En todo caso saco las  (?) me largo a construir y el que entre llame  a la fuerza pública y los saque.
El señor MONTESINOS TORRES.—	 El 20 del próximo mes ustedes empiezan la construcción.
El señor representante de LUCCHETTI.—	 Lo que yo necesito. Claro, pero que esto carajo me tienen que dar la habilitación urbana definitiva.
El señor MONTESINOS TORRES.—	 Claro, pero, ya  arrancado el asunto de la construcción está garantizado por el Poder Judicial para poder continuar con el asunto de la construcción.
El representante de LUCCHETTI.—	 Yo no quiero que a la vuelta de los años este flaqueando que me faltó la habilitación
El señor MONTESINOS TORRES.—	 No. Entonces, ahí viene el asunto cumpliendo, vienen para eso, pero tan ...
El representante de LUCCHETTI.—	 El juez puede dar la habilitación urbana definitiva aun si se niega la Municipalidad.
El señor MONTESINOS TORRES.—	 Lógico, pero tiene usted una ventaja que ya tiene un amparo que el juez ha determinado en resolución judicial firme de que sí tienen el derecho y eso le sirve al otro juez decir que estando firme y consentido el atropello; entonces el juez asume la autoridad administrativa y otorga la ...
"El representante de LUCCHETTI	.—"	 Habilitación urbana ...
El señor MONTESINOS TORRES.—	 Por eso le digo que ésta es una medida
El representante de LUCCHETTI.—	 Juez igual.
El señor MONTESINOS TORRES.—	 Juez igual. No, el juez, eso ya lo hemos además va la fuerza pública y ponemos la policía y este no se mete, se va a chupar.
El representante de LUCCHETTI.—	 Pero hay que darle la ...
El señor MONTESINOS TORRES.—	 Tenemos que destruirlo.
El representante de LUCCHETTI.—	 Hay que sacarlo del escenario político.
El señor MONTESINOS TORRES.—	 Totalmente. Sí, sí, aquí tenemos que irnos ...
El representante de LUCCHETTI.—	 Y  que no pueda ser Alcalde de Lima.
El señor MONTESINOS TORRES.—	 Felizmente ha salido Kouri, pero de Kouri tampoco no hay que tirarse mucho porque.
El representante de LUCCHETTI.—	 Sí porque hace unas declaraciones que ...
El señor MONTESINOS TORRES.—	 Este es un tipo muy zigzagueante; o sea, ese es un muchacho que quiere jugar a la política y aparentar ser un independiente, pero en el fondo trata de conciliar con Dios y con el diablo y así no se puede ser porque en política usted no puede estar aquí y acá. O Tiene usted una línea de posición firme y por eso he recordado siempre la frase del general  de Pinochet, ”mi hijito, en política hay objetivos, yo me trazo la línea y sigo; lo que está fuera de la línea no me sirve ni para la derecha ni para la izquierda; lo que está en la línea es lo único”; o sea, yo no puedo estar zigzagueando para acá o para allá o estoy en la línea o no estoy y eso es claro. Esa es la ...
"El representante de LUCCHETTI	.—"	 ¿Porque esto Andrade no ha llevado?
El señor MONTESINOS TORRES.—	 No, este tipo es un tipo que va así; entonces,  usted no puede, ¿ah?
El representante de LUCCHETTI.—	 ¿Quién otro se le pondrá de un (?)
El señor MONTESINOS TORRES.—	 Bueno, este ...
"El representante de LUCCHETTI	.—"	 ¿Kouri es mejor que Andrade?
El señor MONTESINOS TORRES.—	 Ah no, evidentemente, entre 2 males hay que buscar el menor.
El representante de LUCCHETTI.—	 Ojalá que lo elijan.
El señor MONTESINOS TORRES.—	 Yo creo que  pueden elegirlo.
El representante de LUCCHETTI.—	 (?) lo último sería tener a Andrade fuera del
El señor MONTESINOS TORRES.—	 Ah, sí, totalmente fuera del escenario,  pero se ha caído como 20 puntos ahora. Porque sino este desde la Municipalidad buscará otra cosa para obstaculizar pues ...
El representante de LUCCHETTI.—	 Exacto, nos va a seguir fregando.
El señor MONTESINOS TORRES.—	 Porque va a perder esta cuestión del amparo, es obvio.
El representante de LUCCHETTI.—	 Y va a seguir.
El señor MONTESINOS TORRES.—	 Va a buscar alguna otra cosa para quererlo fastidiar, entonces ustedes ya tienen ya la inversión, va a continuar la fábrica, va a estar funcionando. Ahora, de acuerdo a lo que ...
El representante de LUCCHETTI.—	 Va a seguir en la campaña contra nosotros.
El señor MONTESINOS TORRES.—	 Claro, va a mandar los ecologistas ...
El representante de LUCCHETTI.—	 Claro.
El señor MONTESINOS TORRES.—	 Y todas las cuestiones. Ahora, de lo que se ve en el esquema el ambiente que es un muladar de eso va a quedar lindo con la fábrica con todos los, es un ambiente ...
El representante de LUCCHETTI.—	 ¿Usted lo vio en la televisión?
El señor MONTESINOS TORRES.—	 Es hermoso, con todos los árboles ..
El representante de LUCCHETTI.—	 Si nos encontráramos en Buenos Aires vería la fábrica, ésta es varias veces mejor. Esta es la fábrica más moderna en el mundo doctor, esto es insólito cómo mienten y dicen que sacó un vídeo la Municipalidad, de donde usan los  fondos del peaje.
El señor MONTESINOS TORRES.—	 Ya.
El representante de LUCCHETTI.—	 Entiendo que ilegal porque los fondos son ...
El señor MONTESINOS TORRES.—	 Son de uso publico.
El representante de LUCCHETTI.—	 De uso público y con el solo objeto de mejorar las vías; bueno, en la cual saca chimenea, nosotros no tenemos chimenea.
El señor MONTESINOS TORRES.—	 Sí.
El representante de LUCCHETTI.—	 Carajo de los carajos que ...
El señor MONTESINOS TORRES.—	 No, no, hay que darle ...
El representante de LUCCHETTI.—	 Como esto...
El señor MONTESINOS TORRES.—	 Así es.
El representante de LUCCHETTI.—	 Hay 2 tipos de terroristas de Estado, uno son estos, los desembozados, los de la violencia física ...
El señor MONTESINOS TORRES.—	 ¿Y de los otros?
El representante de LUCCHETTI.—	 Los encubiertos que son más peligrosos ..
El señor MONTESINOS TORRES.—	 Claro, porque son encubiertos y encaramados.
El representante de LUCCHETTI.—	 Y hacen más daño.
El señor MONTESINOS TORRES.—	 Así es. Bueno, pero ahí estamos para darles pues. (?) como se llama ...
El representante de LUCCHETTI.—	 (?) porque yo me entretengo tanto con usted  que  me podría quedar largo aquí conversando de otra cosas, pero tan bien tiene que hacer (2)
El representante de LUCCHETTI.—	 Bueno, ¿las cosas cómo se ven?, ¿bien?
El señor MONTESINOS TORRES.—	 Sí, no, felizmente y esto ¡ah!, felizmente las cosas acá van marchando ...
El representante de LUCCHETTI.—	 Sí, es que en la mañana lo veo bien.
El señor MONTESINOS TORRES.—	 Solamente esto del fenómeno del “Niño” que nos ha venido ...
