speaker	speech
Background	 Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DE LOS VÍDEOS N°. 1349, 1350 REUNIÓN DR. - CROUSILLAT (H) - GISELA DE FECHA 26 DE FEBRERO DE 1999 —Se observa a los señores Francisco Crousillat López Torres, José Francisco Crousillat Carreño y Vladimiro Montesinos Torres reunidos en una sala conversando, frente a ellos hay una mesita de centro, encima de ella se aprecia una cantidad de fajos de billetes. —El señor Francisco Crousillat López Torres muestra su reloj.
El señor MONTESINOS TORRES.—	 ...son bonitos. En Argentina sales y te tiran un jalón.
El señor CROUSILLAT CARREÑO.—	 Sí. No, con eso no puedes salir.
El señor MONTESINOS TORRES.—	 No. Un día estuve caminando en Argentina, carajo, y...
El señor CROUSILLAT LÓPEZ TORRES.—	 Ése es el que lo pones en la caja y nunca para ¿no?
El señor MONTESINOS TORRES.—	 Sí.
El señor CROUSILLAT LÓPEZ TORRES.—	 Yo tengo uno, me regalaron uno.
El señor MONTESINOS TORRES.—	 Son bonitos.
El señor CROUSILLAT CARREÑO.—	 No, pero éste tiene los diamantes.
El señor MONTESINOS TORRES.—	 Sí.
El señor CROUSILLAT LÓPEZ TORRES.—	 Oye, mi reloj costó 60 mil dólares ¿cuánto cuesta éste?
El señor CROUSILLAT CARREÑO.—	 Más o menos eso.
El señor CROUSILLAT LÓPEZ TORRES.—	 Más o menos, ¿no?
El señor MONTESINOS TORRES.—	 Más o menos.
El señor CROUSILLAT LÓPEZ TORRES.—	 Sesenta mil dólares en la mano tiene este cojudo.
El señor MONTESINOS TORRES.—	 ¿Hablas de los amigos? (Risas).
El señor CROUSILLAT LÓPEZ TORRES.—	 Hay que tomarle una foto para enviársela a Magaly ¿no?
El señor CROUSILLAT CARREÑO.—	 Oye, pero este ** es una obra de arte.
El señor CROUSILLAT LÓPEZ TORRES.—	 ¿No? tomarte una foto de la muñeca y mandársela a Magaly.
El señor MONTESINOS TORRES.—	 ¡Ah!, sí.
El señor CROUSILLAT LÓPEZ TORRES.—	 Que haga un concurso: ¿De quién es esta muñeca?
El señor MONTESINOS TORRES.—	 Tú sabes cómo es esto. Cuando yo estaba haciéndole la entrevista a Abimael Guzmán, tenía mi anillo del Ejército, de los anillos que tienen los militares. Parecido al anillo que tienes tú.
El señor CROUSILLAT LÓPEZ TORRES.—	 Sí, pero tienen un nombre acá, una vaina.
El señor MONTESINOS TORRES.—	 Claro.
El señor CROUSILLAT LÓPEZ TORRES.—	 El año de la promoción.
El señor MONTESINOS TORRES.—	 El año de la promoción, pero son de oro amarillo, no oro blanco. Entonces, en la filmación no salgo yo, sino sale mi mano y por el anillo me...
El señor CROUSILLAT LÓPEZ TORRES.—	 Te detectan.
El señor MONTESINOS TORRES.—	 Me detectan.
El señor CROUSILLAT CARREÑO.—	 ¿A dónde fue (ininteligible)
El señor MONTESINOS TORRES.—	 Creo que fue Hildebrandt (ininteligible)
El señor CROUSILLAT LÓPEZ TORRES.—	 Algún pendejo de esos.
El señor MONTESINOS TORRES.—	 La mano.
El señor CROUSILLAT LÓPEZ TORRES.—	 La mano de Montesinos.
El señor MONTESINOS TORRES.—	 Lo que sí te digo, he mandado a una persona para que hable “pero, ¿quién les ha dado?” “¡Ah!, es algo secreto”, me dice. Entonces, se ve nomás, ahí está la mano nomás, saquen por la mano. El anillo. ¡Ah! no, pues, es un anillo de promoción de militares, dice. Ya por ahí sacan. Caretas fue, el Caretas .
El señor CROUSILLAT CARREÑO.—	 ¿Sacó la mano?
El señor MONTESINOS TORRES.—	 Sacó la mano con el anillo, pues.
El señor CROUSILLAT LÓPEZ TORRES.—	 Lo sacan a él en Caretas con un (ininteligible)...
El señor MONTESINOS TORRES.—	 ¡Ah!, sí lo he visto pateando. (Risas)
El señor CROUSILLAT CARREÑO.—	 Puta madre, gordo cabrón es ése.
El señor MONTESINOS TORRES.—	 Ése es miserable.
El señor CROUSILLAT LÓPEZ TORRES.—	 Ése es Vivas.
El señor CROUSILLAT CARREÑO.—	 Ése es un maricón.
El señor MONTESINOS TORRES.—	 Vamos metiendo...
Background	—El señor Montesinos Torres empieza a poner los fajos de billetes en un maletín.
El señor CROUSILLAT LÓPEZ TORRES.—	 ¿Está metido en la Universidad de Lima algo o no?
El señor MONTESINOS TORRES.—	 Estaba. Está, está. Es profesor.
El señor CROUSILLAT LÓPEZ TORRES.—	 Porque ahí me mandaron de Televisa para la cosa ésa de los estudiantes, que mandemos, podemos mandar 30 estudiantes de acá, de la universidad para la junta ésta.
El señor CROUSILLAT CARREÑO.—	 Yo quería decir, yo quería contarte algo.
El señor MONTESINOS TORRES.—	 Sí.
El señor CROUSILLAT CARREÑO.—	 Nos han dado una información de que en el Ministerio de Transportes y Comunicaciones Telefónica tiene 16 personas pagadas con doble sueldo, o sea, con un sueldo extra.
El señor MONTESINOS TORRES.—	 ¿Un plus?
El señor CROUSILLAT CARREÑO.—	 Sí.
El señor MONTESINOS TORRES.—	 Ya.
El señor CROUSILLAT CARREÑO.—	 Estaba en su manejo.
El señor CROUSILLAT LÓPEZ TORRES.—	 Digamos, tienen planilla ahí.
El señor CROUSILLAT CARREÑO.—	 Me imagino que será una cosa totalmente normal, porque ellos se tienen que mover y tienen sus necesidades y qué sé yo.
El señor MONTESINOS TORRES.—	 ¡Aja!
El señor CROUSILLAT CARREÑO.—	 Pero, más allá de ese tema, nos han dicho que hay un tema que es el que nosotros hablamos contigo
El señor MONTESINOS TORRES.—	 Así es.
El señor CROUSILLAT CARREÑO.—	 Que tú hablaste con Pandolfi.
El señor MONTESINOS TORRES.—	 Así es.
El señor CROUSILLAT CARREÑO.—	 Que está parado por ellos.
El señor MONTESINOS TORRES.—	 ¡Ah! ¿Por ellos mismos?
El señor CROUSILLAT CARREÑO.—	 Así nos han dicho. Que está en el escritorio de Pandolfi, pero hay alguien que se encarga de ponerlo en último lugar.
El señor MONTESINOS TORRES.—	 Ya.
Background	—El señor Montesinos Torres termina de colocar los fajos en el maletín y lo cierra.
El señor CROUSILLAT CARREÑO.—	 Es el tema de (ininteligible). Para hacer funcionar nuestra señal internacional y los negocios paralelos que podamos armar con eso.
El señor CROUSILLAT LÓPEZ TORRES.—	 Ya está listo todo para que la firme nomás.
El señor MONTESINOS TORRES.—	 No, pero el lunes voy a hacer lo siguiente: voy a hacer que me manden el documento acá, que me lo manden firmado por Joy Way, y ya vamos el lunes a tener el documento.
El señor CROUSILLAT LÓPEZ TORRES.—	 Está listo ¿ah? Está encima del escritorio, está ahí.
El señor MONTESINOS TORRES.—	 Tú sabes que Pandolfi es...
El señor CROUSILLAT LÓPEZ TORRES.—	 Lentón.
El señor MONTESINOS TORRES.—	 Lentón. Yo le he puesto “Perro cansado”.
El señor CROUSILLAT LÓPEZ TORRES.—	 Perro de agua. Viste esos perros que tienen una pipa acá.
El señor CROUSILLAT CARREÑO.—	 Es lento, pero es de confianza.
El señor MONTESINOS TORRES.—	 Sí . ¡ Ah!, no, es de confianza.
El señor CROUSILLAT CARREÑO.—	 Totalmente, sí
