speaker	speech
Background	 Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DE LOS VIDEOS Núms. 1300 Y 1302 (Estos videos tienen el mismo contenido pero de diferente ángulo) ‘‘REUNIÓN DR. - GRAL. VILLANUEVA Y CRLS. FERNÁNDEZ BACA, TORRES VARGAS, PÉREZ DEL ÁGUILA, MORENO ROJAS, CALLE, SERNA LORA, BALUARTE GUEVARA, MUÑOZ DÍAZ, DE LA MELENA, FIGUEROA, MEJÍA, FABLISH GARAYCOA, BALUARTE, BONILLA, LEÓN GARCÍA, RAMÍREZ, MURGOITO’’ DEL 7 DE DICIEMBRE DE 1998 —En una sala se encuentra el General Villanueva Ruesta con Vladimiro Montesinos Torres.
El señor MONTESINOS TORRES.—	 Ahí nomás ponlo. Bueno, en lo de Sarmiento, como él siempre por lo general siempre hace las reuniones (?) a él le gustan muchas cosas de esas, hace muchas cosas de esas para ver siempre la cuestión,  siempre se reúnen para ver opiniones, cosas de (?)  que le diga que a él le consta, menos mal que (?). Bueno, creo de esa manera (?) Este es casado con (?) de Cano, de Cano no, de Cano no (?) recomendado (?) ni lo ubico a  éste, pero he estado hablando con (?)
El señor GENERAL VILLANUEVA RUESTA.—	 Malo, malo.
El señor MONTESINOS TORRES.—	 Lo único que (?)  muchas veces Figueroa (?)
El señor GENERAL VILLANUEVA RUESTA.—	 Ese es bueno.
El señor MONTESINOS TORRES.—	 Sabes por qué te digo no, porque no conviene que (?) sus parientes (?)
El señor GENERAL VILLANUEVA RUESTA.—	 No, y además es más que manejable Figueroa es manejable (?) este.
El señor MONTESINOS TORRES.—	 No, éste no,
El señor GENERAL VILLANUEVA RUESTA.—	 (?) Un miserable. Además es cuchillo.
El señor MONTESINOS TORRES.—	 Ah! no, no, ni hablar, es por eso que los adicionales (?) curso 7 nada más (?) nos hubiéramos puesto de acuerdo son 8 vacantes, entonces ponemos octavo (?),
El señor GENERAL VILLANUEVA RUESTA.—	 Claro pues. (?)
El señor MONTESINOS TORRES.—	 Entonces, ahora, pero mañana a las 8 de la noche cuando deben irse y una vez que sepan el cargo (?)
El señor GENERAL VILLANUEVA RUESTA.—	 (?)
El señor MONTESINOS TORRES.—	 ¿Mañana?
El señor GENERAL VILLANUEVA RUESTA.—	 Mañana.
El señor MONTESINOS TORRES.—	 Ya., perfecto para que de una vez (?) él tiene como un poco como para (?) una cosa es (?)
El señor GENERAL VILLANUEVA RUESTA.—	 Lógico, diferente.
El señor MONTESINOS TORRES.—	 (?) Entonces cualquier cosa (?) sabiendo nosotros quién es (?) no puedes tú estar en el aire.
El señor GENERAL VILLANUEVA RUESTA.—	 No, ya no.
El señor MONTESINOS TORRES.—	 Tienes que estar ya en la cabeza.
El señor GENERAL VILLANUEVA RUESTA.—	 Así es.
El señor MONTESINOS TORRES.—	 Ya,  porque si no se va a manejar él sólo.
El señor GENERAL VILLANUEVA RUESTA.—	 No ya no, no  (?) tengo que salir.
El señor MONTESINOS TORRES.—	 No, lo que nos (?)  Entonces hemos hecho bien en consultar el tablero (?) hemos ido atacando en lo anterior y sigue igual en muchos aspectos (?)  pero mantiene todavía los votos de los militares (?)  sigue igualándose a ellos (?)  como ha sido la última vez antes de que salga, pum (?)
El General VILLANUEVA RUESTA.—	 (?) políticamente es bueno
El señor MONTESINOS TORRES.—	 Sí, porque sino van a empezar a caer (?) va más allá de nuestros hombros.
El General VILLANUEVA RUESTA.—	 Claro que sí.
El señor MONTESINOS TORRES.—	 (?) y aquí lo que quiero es que (?) venga también una mano muy larga, porque sino (?)
El General VILLANUEVA RUESTA.—	 Por supuesto.
El señor MONTESINOS TORRES.—	 Ibárcena de la Marina y Dianderas ahí y (?) Ahora vamos a luchar por la reelección del Presidente (?) la cabeza (?) de ninguna manera.
El General VILLANUEVA RUESTA.—	 De ninguna manera
El señor MONTESINOS TORRES.—	 ¿Entiendes? Entonces la única fórmula es tener el control (?)
El General VILLANUEVA RUESTA.—	 Claro.
El señor MONTESINOS TORRES.—	 Porque Saucedo no tiene los pantalones para (?)
El General VILLANUEVA RUESTA.—	 Saucedo se orina de miedo.
El señor MONTESINOS TORRES.—	 (?) Ahora (?) No pasa nada, no hemos hecho nada, pero una actitud pasiva ya es, desestabiliza toda la vaina, tenemos a los policías de nuestro lado.
El General VILLANUEVA RUESTA.—	 Claro.
El señor MONTESINOS TORRES.—	 Ahora en lo que tenemos que tener es cuidado quienes practican los espacios (?) 2, 3, 4 que son (?) Tienen muchos años, son buenos trabajando en el asunto, pero (?)
El General VILLANUEVA RUESTA.—	 (?)
El señor MONTESINOS TORRES.—	 Sí, sí. Es amigo de (?) también es amigo mío, pero (?) Entonces eso (?) para verificar (?) no pues (?) “Oiga”, le digo, “cómo no me das cuenta tú a mí (?)” y entonces si eso se deja sin ningún acuerdo (?) y no le dices ni su (?) Será mi amigo, todo lo que tú quieras, pero no cuenta esas cosas. Entonces hay que sacarlo a una unidad donde (?) a Inspectoría, o al Estado Mayor, ahí (?)
El General VILLANUEVA RUESTA.—	 Puede emigrar al Comando Conjunto.
El señor MONTESINOS TORRES.—	 (?) el Comando Conjunto (?) ¿qué te parece? (?)
El General VILLANUEVA RUESTA.—	 Muy bien.
El señor MONTESINOS TORRES.—	 ¿Ah? Ahí. ¿Qué haces?, nada.
El señor GENERAL VILLANUEVA RUESTA.—	  (Mueve la cabeza negativamente)
El señor MONTESINOS TORRES.—	 Coges y te vas (?) y retiro.
El señor GENERAL VILLANUEVA RUESTA.—	 (?)
El señor MONTESINOS TORRES.—	 Es íntimo de (?)
El General VILLANUEVA RUESTA.—	 (?) el juez
El señor MONTESINOS TORRES.—	 El juez, (?) primero por (?) en segundo lugar por (?)
El General VILLANUEVA RUESTA.—	 (?)
El señor MONTESINOS TORRES.—	 (?) y que se quede (?) cualquier cosa (?) porque yo (?) Bien, el problema es (?) y en segundo lugar es (?)
El General VILLANUEVA RUESTA.—	 (?)
El señor MONTESINOS TORRES.—	 entonces tenemos a (?) porque a Alfonso, ya no puedo ponerlo a 2 (?)
El General VILLANUEVA RUESTA.—	 No, no, no.
El señor MONTESINOS TORRES.—	 Y además que hay una cosa que tenemos que (?)
El General VILLANUEVA RUESTA.—	 (?) Villanueva Ruesta (?) inteligencia (?) pero hasta ahí no más.
El señor MONTESINOS TORRES.—	 Hasta ahí no más. Yo ahorita le mando un fax que dice “hermano, espero que hayas terminado el año bien, he ganado el apoyo de (?)” el problema es que hay que saber manejarlo (?) es diferente con (?) ese es el problema.
El General VILLANUEVA RUESTA.—	 Así es.
El señor MONTESINOS TORRES.—	 Ahora (?)
El General VILLANUEVA RUESTA.—	 (?)
El señor MONTESINOS TORRES.—	 Hoy día lunes
El General VILLANUEVA RUESTA.—	 (?)
El señor MONTESINOS TORRES.—	 Entonces (?)
El General VILLANUEVA RUESTA.—	 (?)
El señor MONTESINOS TORRES.—	 (?) y además todo (?) Porque no sé si tú te habrás dado cuenta, yo tengo las fotos, te enseñé las fotos; él ha ido allá con una casaquita amarilla. Anoche, si tú lo ves, se presentó en el canal (?) la entrevista, y va con la misma casaca amarilla (?) o sea que ya la imagen de el es (?) con la casaca amarilla (?)
El General VILLANUEVA RUESTA.—	 Claro (?)
El señor MONTESINOS TORRES.—	 Ya tenemos esa información (?) La campaña que el amarillo es el símbolo de sendero, (?) le quemamos su (?)
El General VILLANUEVA RUESTA.—	 Su símbolo.
El señor MONTESINOS TORRES.—	 Su símbolo.
El General VILLANUEVA RUESTA.—	 Claro.
El señor MONTESINOS TORRES.—	 ¿Te das cuenta?
El General VILLANUEVA RUESTA.—	 Claro.
El señor MONTESINOS TORRES.—	  (3) Tenemos tiempo ahora, (?) 3 meses, luego de los 3 meses empezamos a poner 2el color amarillo-sendero” (?) documento ta, ta, ta, ponemos el amarillo (?)lo hacemos perder tres meses de campaña, él empezó su campaña con ese colorcito, y ahora le quitamos (?) entonces en el mes de marzo lo tenemos en el aire, sin tener símbolo, entonces va a tener que tener un símbolo. Entonces, todo lo que ha trabajado se le va al tacho. Tú sabes hermano, 6 meses, difícil (?)
El General VILLANUEVA RUESTA.—	 Claro, en política y sobretodo en (?)
El señor MONTESINOS TORRES.—	 Ya no va a poder.
El General VILLANUEVA RUESTA.—	 Está bien, buena (?)
El señor MONTESINOS TORRES.—	 Es una buena estrategia, de aquí, compadre tenemos que cerrar filas (?) porque sino
El General VILLANUEVA RUESTA.—	 Esto.
El señor MONTESINOS TORRES.—	 Nos van a (?) nos van a tirar (?) es el único país en América Latina que ha sido victorioso (?) las Fuerzas Armadas (?) inteligencia (?) la picota, es increíble eso.
El General VILLANUEVA RUESTA.—	 Aquí lo que (?)
El señor MONTESINOS TORRES.—	 (?)
El General VILLANUEVA RUESTA.—	 Lógico, salimos va a haber presiones, (?)
El señor MONTESINOS TORRES.—	 Sí.
El señor GENERAL VILLANUEVA RUESTA.—	 (?) con las excepciones.
El señor MONTESINOS TORRES.—	 Claro (?) con reservas
El General VILLANUEVA RUESTA.—	 (?) con reservas.
El señor MONTESINOS TORRES.—	 Así es
El General VILLANUEVA RUESTA.—	 Con reservas (?) firmar (?) ta, ta, ta, acá no entra.
El señor MONTESINOS TORRES.—	 Así es. (?)
El General VILLANUEVA RUESTA.—	 Y se acabó el problema.
El señor MONTESINOS TORRES.—	 Pero (?)
El General VILLANUEVA RUESTA.—	 (?) el señor Báez.
El señor MONTESINOS TORRES.—	 Ya fallaron lo del señor Báez (?)
El señor GENERAL VILLANUEVA RUESTA.—	 ¿Ya fallaron?
El señor MONTESINOS TORRES.—	 Ya fallaron ya, tengo que pagar 300 mil dólares por cada hombre. Y se viene ahora el de Castillo Ferucci. (?)
El General VILLANUEVA RUESTA.—	 Lo de Castillo Ferucci.
El señor MONTESINOS TORRES.—	 Estoy fregado. Ya. No lo vamos a poner en libertad nunca. La próxima semana tiene que salir esa ley (?)
El General VILLANUEVA RUESTA.—	 Por eso le decía, yo le decía al Presidente “eso hay que (?)”
El señor MONTESINOS TORRES.—	 Pero ustedes ya saben que eso ya ha venido con un pre proceso.
El General VILLANUEVA RUESTA.—	 Eso ya viene con el informe hecho.
El señor MONTESINOS TORRES.—	 Sí.
El General VILLANUEVA RUESTA.—	 (?) y solamente a justificar su informe.
El señor MONTESINOS TORRES.—	 Nada más.
El General VILLANUEVA RUESTA.—	 Nada más.
El señor MONTESINOS TORRES.—	 Entonces hay que ver si ya están estos pata acá para empezar de una vez.
El General VILLANUEVA RUESTA.—	 Acá lo esperamos
El señor MONTESINOS TORRES.—	 Sí, acá los recibimos.
Background	—Corte en la grabación. —Se retoma con el ingreso de un Oficial  a la sala.
El señor MONTESINOS TORRES.—	 ¿Qué tal hermano?, ¿cómo estás?
"El Oficial EP		.—"	 Bien doctor.
El señor MONTESINOS TORRES.—	 Después de tiempo, vienes por acá?
"El Oficial EP		.—"	 Sí.
El señor MONTESINOS TORRES.—	 ¿Ah?
"El Oficial EP		.—"	 Sí, no sí vine, vine a (?)
El General VILLANUEVA RUESTA.—	 (?) 14 meses.
El señor MONTESINOS TORRES.—	 14 meses
"El  Oficial.		—"	 No, no tanto, (?) dando vuelta.
El señor MONTESINOS TORRES.—	 Ya (?)
"El Oficial EP		.—"	 (?)
El señor MONTESINOS TORRES.—	 (?) El día viernes es el proceso de ascenso de coroneles y generales. Con el general, hemos (?) general de brigada.
"El Oficial EP		.—"	 Claro.
El señor MONTESINOS TORRES.—	 Bien, es una responsabilidad que tienes, es grande (?)
"El Oficial EP		.—"	 Claro que sí.
El señor MONTESINOS TORRES.—	 Así es que esperamos, como siempre, ya te conocemos a ti que eres un oficial de primera, eres un buen artillero, no nos vas a defraudar de esta nueva responsabilidad que vas a tener. Mantén esta información en reserva.
"El Oficial EP		.—"	 Claro.
El señor MONTESINOS TORRES.—	 Es personal. No se lo digas a nadie. Obviamente es una comunicación que te estamos haciendo con la especificación de confidencial para tu persona.
"El Oficial EP		.—"	 Claro, claro.
El señor MONTESINOS TORRES.—	 Ya el día viernes ya, este viernes, se va a llevar a cabo el proceso ya con las formalidades del caso, ya el Comandante General se los va a comunicar a ustedes por los canales más pertinentes, mientras tanto con la anticipación debida, nosotros ya te estamos avisando la decisión que hemos tomado, y después ya te vamos a comunicar cuál va a ser (?) así que (?) conoces la decisión (?) cualquier cosa, ya tu sabes están las puertas de mi oficina abiertas
"El Oficial EP		.—"	 (?)
El señor MONTESINOS TORRES.—	 (?) los problemas (?) Ya. Muy bien (?) (4) felicitaciones
