speaker	speech
Background	" Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DE LOS VIDEOS Núms. 1677 y 1679 (Estos videos tienen el mismo contenido pero de diferente ángulo) ""REUNIÓN DR. - DELGADO PARKER - SCHÜTZ"" DEL 25 DE AGOSTO DE 1999 —Se aprecia a dos personas, el señor Manuel Delgado Parker y el señor Ernesto Schütz Landázuri, quienes toman asiento en un sillón de tres cuerpos en la sala del Servicio de Inteligencia Nacional."
"El señor		.—"	 Entonces lo voy a llamar, entonces.
El señor SCHÜTZ LANDÁZURI.—	 Ya, por favor.
Background	—Diálogo ininteligible.
El señor DELGADO PARKER, Manuel.—	" Una pregunta. Fíjate, quizás está, si ya está nos pueda ayudar con el ""saldito""."
El señor SCHÜTZ LANDÁZURI.—	 A sí, indudablemente. Ya está (?).
Background	—Diálogo ininteligible.
El señor SCHÜTZ LANDÁZURI.—	 Que a ti te voy a botar y a ti te voy a hacer botar.
El señor DELGADO PARKER, Manuel.—	 Claro, tú sabes que estos personajes son imposibles, son insoportables (?). El cholo con plata, el negro con mando ¡uff! y el blanco calato, son tres personajes insoportables. Esa es la verdad. Este es el negro con mando, (risas). Y no hay ni de (?).
Background	—Diálogo ininteligible. —Ingresa una persona que entrega al señor Schütz aparentemente un llavero y un teléfono celular y le pregunta si desea algo.
El señor SCHÜTZ LANDÁZURI.—	 Ahí está, gracias.
"El señor		.—"	 ¿Un cafecito, algo?
El señor DELGADO PARKER, Manuel.—	 Me caería bien un café.
El señor SCHÜTZ LANDÁZURI.—	 A mí dáme un juguito de piña, pues, de piña o bueno de...
Background	—Diálogo ininteligible.
El señor SCHÜTZ LANDÁZURI.—	 Ah, el edecán es un tipo con uniforme, creo que es (?).
El señor DELGADO PARKER, Manuel.—	 (?)
El señor SCHÜTZ LANDÁZURI.—	 (?).
El señor DELGADO PARKER, Manuel.—	 Muy bien, me pareció un tipo que ha aprendido mucho y, bueno, los golpes en la vida que ha sido de repente la mejor presentación que ha tenido. Gente que conoce me dice ha mejorado mucho, y esto a lo mejor es porque (?) sin exageraciones y con una lógica, digamos, y el asunto tiene lógica. Yo creo que tiene mucho que mencionar. (?)
El señor SCHÜTZ LANDÁZURI.—	 (?) Yo hablé con gente de la Telefónica, una (?), y me dijeron que, bueno que (?) no me dijeron (?). “Sí, nos han traído un proyecto para abrir una serie de canales, estamos viendo, eso está en... Se está viendo, pero hay hasta 3 ofertas”.
El señor DELGADO PARKER, Manuel.—	 No, sí, son varias.
El señor SCHÜTZ LANDÁZURI.—	 Pero ahí estamos viendo (?) Yo voy a comunicarme con (?)
El señor DELGADO PARKER, Manuel.—	 No, claro.
Background	—Diálogo ininteligible.
El señor SCHÜTZ LANDÁZURI.—	" No, pero yo lo haré yo o ustedes me lo ven. Lo único que tengo, lo único que he dejado ahí un poco, digamos (?). Entonces ya digamos que si, han quedado 20, o sea una persona no puede decir ""oye ven"" y ya, así es, digamos que sí."
El señor DELGADO PARKER, Manuel.—	 Claro, su opinión es importante. (2)
El señor SCHÜTZ LANDÁZURI.—	 Y ahora es importante, porque (?) para qué me dices que  (?) nos hubiéramos quedado así o asá o está bien, o piña también, para qué fastidia
Background	—Diálogo ininteligible.
El señor SCHÜTZ LANDÁZURI.—	 (?) Como veintitantas mil personas que hay.
El señor DELGADO PARKER, Manuel.—	 ¿Qué?
El señor SCHÜTZ LANDÁZURI.—	 Sí.
El señor DELGADO PARKER, Manuel.—	 ¿De ese nivel?
El señor SCHÜTZ LANDÁZURI.—	" Claro, todos los días así,  veintitantas mil personas. Y el tipo se le acerca, la ve y dice: ""He hablado con ella"". Lo que pasa es que eso (?)"
