speaker	speech
Background	 Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DEL VÍDEO N.° 1607 ‘‘REUNIÓN DR. – CROUSILLAT – SR. WO – SR. BERTINI’’ DEL 19 DE JULIO DE 1999 —Aparece el señor José Francisco Crousillat López Torres sentado en la sala, coge una revista y la hojea. Luego llega el señor Wo, que también coge una revista. —Se desarrolla una conversación respecto a las revistas.
El señor CROUSILLAT LÓPEZ TORRES.—	 (?) información económica.
El señor WO.—	 (?)
El señor CROUSILLAT LÓPEZ TORRES.—	 Cómo va el nombre (?) nuestro especial, la promoción (?)
El señor WO.—	 Claro, lo vi.
El señor CROUSILLAT LÓPEZ TORRES.—	 La promoción fue (?) era matadora. Hay un proceso.
El señor WO.—	 (?) le he ganado (?) Hay una inauguración americana.
El señor CROUSILLAT LÓPEZ TORRES.—	 ¿En Estados Unidos?
El señor WO.—	 (?) de compras (?) Estados Unidos.
El señor CROUSILLAT LÓPEZ TORRES.—	 ¿Sí?
Background	—Continúan leyendo cada uno sus revistas. —Y hace su ingreso el señor Vladimiro Montesinos Torres.
El señor MONTESINOS TORRES.—	 Maestro.
El señor WO.—	 Muy buenas, ¿cómo está?
El señor MONTESINOS TORRES.—	 ¿Cómo estás?
El señor CROUSILLAT LÓPEZ TORRES.—	 Qué tal, felicitaciones.
El señor MONTESINOS TORRES.—	 Sí. Sienténse. Oye, hermano, lo tengo acá a Eugenio Bertini, por el problema. Estamos viendo tu asunto, ¿no?. En la mañana hablé con el almirante que también está acá y tenemos 2 esquemas. Un esquema es que Pandolfi te firma el contrato para poder sacar 2 millones a la sola, al solo documento; lo podemos sacar esta semana y el otro es que Bertini nos haga la financiación o la refinanciación, no sé cómo nos va a presentar ahorita por los 6, si él da la garantía, la Caja entrega los 6  inmediatamente, podemos tener los 8 millones entre esta y la otra semana. Lo voy a traer primero a Bertini acá, para que hablemos con Bertini lo que haya que hablar y lo otro lo hacemos mañana. O sea, mañana lo llamo yo a Pandolfi, le voy a decir qué tiene que hacer el documento de leasing, ¿no es cierto?, creo, ahorita lo llamamos a (?) o lo llamas tú en un ratito, se hace el documento, mañana viene Pandolfi acá, lo hago firmar a él y ya tienes tu documento y con eso usted se va a la Caja con el almirante, y pin los 2 primeros, ¿ya?. Y después el otro pata, vemos ahorita cómo lo hacemos. Lo voy a traer ¿ya?
El señor CROUSILLAT LÓPEZ TORRES.—	 ¿Estás resfriado?, ¿te estás cuidando?
El señor MONTESINOS TORRES.—	 No, sigo mal de la garganta, estos días he tenido malas noches.
El señor CROUSILLAT LÓPEZ TORRES.—	 ¿Has viajado bastante?
El señor MONTESINOS TORRES.—	 Sí, hermano, pésimo.
El señor CROUSILLAT LÓPEZ TORRES.—	 Oye, te felicito (?)
El señor MONTESINOS TORRES.—	 Estuvo bien, ¿no?
El señor CROSUSILLAT LÓPEZ TORRES.—	 (?) increíble.
El señor MONTESINOS TORRES.—	 Ha salido el programa, lo hizo bien la mujer ayer ¿no?
El señor CROUSILLAT LÓPEZ TORRES.—	 Muy bien, excelente.
El señor MONTESINOS TORRES.—	 Muy bien.
El señor CROUSILLAT LÓPEZ TORRES.—	 Y por primera vez alguien tuvo el valor de decir las cosas como son por televisión.
El señor MONTESINOS TORRES.—	 Sí pues, por primera vez.
El señor CROUSILLAT LÓPEZ TORRES.—	 (?) hoy día hablamos, le he dicho a Laura “por primera vez alguien ha salido y ha dicho lo que tiene que decir, otros andan escondidos, in creíble. Esa es la diferencia con Panorama.. .
El señor MONTESINOS TORRES.—	 No, Panorama no tiene ...
El señor CROUSILLAT LÓPEZ TORRES.—	  Panorama es medio tímida.
El señor MONTESINOS TORRES.—	  Panorama no tiene. Los chocolateros ahora en la mañana estuvieron muy bien.
El señor CROUSILLAT LÓPEZ TORRES.—	 Más bien tenía que tranquilizar a Laura porque ya la forma de “malditos”; le dije, “tranquila, calma, calma.”
El señor MONTESINOS TORRES.—	 Claro, claro.
El señor CROUSILLAT LÓPEZ TORRES.—	 Estuvo muy bien.
El señor MONTESINOS TORRES.—	 No, pero la (?) ha salido buena, ¿no?
El señor CROUSILLAT LÓPEZ TORRES.—	 Y ganó así.
EL señor MONTESINOS TORRES.—	 Le ganó 20, ¿no?
El señor CROUSILLAT LÓPEZ TORRES.—	 A Panorama le sacó la mugre.
El señor MONTESINOS TORRES.—	 Le sacó la mugre, sí. Es que Panorama tiene demasiado, sabes qué cosa, el tema de Panorama , ya la gente ya no quiere ver la “coboyada”, que los fulanos que corren, saltan, porque de eso ya están cansados, mejor ponen una película de Vietman, esas cosas, quieren la historia real.
El señor CROUSILLAT LÓPEZ TORRES.—	 Sí, es increíble que haya tenido rating, el mapa normalmente la gente ...
El señor MONTESINOS TORRES.—	 No entiende.
El señor CROUSILLAT LÓPEZ TORRES.—	 Le aburre la explicación del mapa.
El señor MONTESINOS TORRES.—	 Pero si el mapa ha sido muy didáctivo, el mapa demuestra como esto es una secuencia; o sea, no es una cuestión de que al tipo lo encontraron acá y lo cazaron, fue todo un de 40 días.
El señor CROUSILLAT LÓPEZ TORRES.—	 La gente no conocía tampoco.
El señor MONTESINOS TORRES.—	 No tenía idea, incluso (?) de aquí para acá y eso de que  falta es las grabaciones y las conversaciones de él cuando va saltando de punto en punto para llegar a Laycacoto.
El señor CROUSILLAT LÓPEZ TORRES.—	 Porque eso salía con un poco más de tiempo, con la computadora buscando los lugares donde ...
El señor MONTESINOS TORRES.—	 Por ejemplo, cómo era la mecánica. Cuando salta al ultimo punto de (?) a las 10 de la noche, él hace su conversación y dice me encuentro a las 3 de la mañana en Laycacoto en tal inmueble. No teníamos la ubicación, pero con las coordenadas sale el inmueble, entonces ubica el inmueble y él llega a las 4 de la mañana al sitio, pero no llega al inmueble sino manda una avanzada de 3 mujeres para encontrarse con el fulano que estaba ahí. Entonces, sale del inmueble un fulano y vienen 3 y se encuentran aquí; entonces, ahí se detienen y se identifican los 4 y venía una seguridad detrás de los 3; entonces, esa seguridad ve que se detienen 4 personas y (?)que esta a 200 metros atrás, entonces, de ahí él pasa el río y se va en otra dirección. Ahí fue una primera opción , pero era cuestión de horas, nada más, porque se estrecha el tema del cerco y al estrecharse el tema del cerco esa noche, mandamos efectivos como miércoles, toda la noche movida de aviones, movida de aviones. Se hizo todo el tema del cerco y te explico la carta, cuales eran los; o sea, ubicado el río tú ves cuales son las rutas de escape, o las alturas o las carrozables  y para las alturas tienes que poner allí, en la zona de las alturas una carta, y hablar con el piloto del helicóptero, tú ves cuales son las zonas que son de acceso fácil por las alturas, ahí se pone la patrulla y en las carreteras la orden que se dio es que toda persona que pasara por la carretera a pie o en vehículo tenían que ser identificadas, no una identificación y decían “a ver muéstreme su libreta”, tú te puedes comprar una libreta y estás con otro nombre, falso nombre, te tienen que tomar las huellas y las huellas tenían que venir acá, yo acá tenía el equipo de análisis de huellas, entonces, ponías tú las huellas a la computadora y al minuto te sale a nombre de quien pertenecen esas huellas.
El señor CROUSILLAT LÓPEZ TORRES.—	 O sea, que fue una operación de no parar (?)los aviones.
El señor WO.—	 (?)
El señor MONTESINOS TORRES.—	 Bajarlo, pone nomás en el banco de datos de la ...
El señor WO.—	 Es un scaner , nomás.
El señor MONTESINOS TORRES.—	 Claro, se *escanea* nomás, las huellas se escanean y sale en la computadora y se comparan con el registro electoral y te dice el nombre de quien es ...
El señor WO.—	 (?)
El señor MONTESINOS TORRES.—	 Al segundo sale. Ahora ...
El señor CROUSILLAT LÓPEZ TORRES.—	 Y quién ha trató de desvirtuar esto, que eso ha sido dado en La República ...
El señor MONTESINOS TORRES.—	 Claro,
El señor WO.—	 (?)
El señor MONTESINOS TORRES.—	 Es que la figura fue la siguiente, la patrulla. El fulano sube al carro a las 5 y 15 de la mañana con las 3 mujeres y el carro estaba manejado por un suboficial, uno de actividad de la policía que estaba, hacía su cachuelo, el tipo vive 15 años en el pueblo, trabaja ahí; cuando han subido los cuadros, los tipos y a los 15 minutos lo para la patrulla; entonces, cuando lo para la patrulla eran 5 y media de la mañana y sabes que en los pueblos estos se levantan la gente temprano, entonces, ven una patrulla militar que para un vehículo, llama pues la atención, la gente mira ahí, pero nadie sabe lo que pasa al interior del vehículo, nada. Entonces, el oficial que iba al mando se identificó ante el guardia, “yo soy capitán del Ejército, voy a revisar su vehículo”, “pase usted” le dijo y en el fondo estaba “El Feliciano” con las 3 mujeres. Ahora, ya no le llegó a tomar las huellas por un hecho de coincidencia, “El Feliciano” tiene un hermano que es comandante del Ejército en actividad y había sido instructor del capitán en la Escuela Militar de Chorrillos 3 años.
El señor CROUSILLAT LÓPEZ TORRES.—	 Igualito.
El señor MONTESINOS TORRES.—	 Parecía su hermano gemelo. O sea, tenía el rostro en la mente y encima de eso, tú has visto al papá, el papá es igualito ...
EL señor CROUSILLAT LÓPEZ TORRES.—	 Lo agarraron frío ya, digamos.
El señor WO.—	 (?)
El señor MONTESINOS TORRES.—	 El papá es igual, pero el hermano, si tu lo pones al hermano ahí son (?), igualito le dicen también “peluca”, el mismo apodo que el papá ...
El señor CROUSILLAT LÓPEZ TORRES.—	 ¿Y no tiene que ver el hermano con ...
El señor MONTESINOS TORRES.—	 No, nada, en absoluto (?) es totalmente, pero de fisonomía son idénticos; o sea, padre y los 2 hijos son como de una gota de agua. Entonces, el otro al mirarlo, vio su parecido ...
El señor WO.—	 (?)
El señor MONTESINOS TORRES.—	 Claro, entonces, “tú eres Feliciano” le dijo y el otro, como lo dijo así con tanta vehemencia, “Sí, soy Feliciano”, “te pareces a tu papá y a tu hermano”, le dijo; entonces, le dijo “ya, bájate” y en ese momento agarró y al chofer le dijo “usted, quién es, identifíquese”, entonces, el chofer sacó su carnet, “yo soy policía en actividad”, “¿y qué está haciendo?”, “bueno, yo hago colectivo de acá para allá”; entonces, preguntó al otro “qué tiene que hacer con ustedes”, “no nada, no tiene que ver nada con nosotros”. Además por la vestimenta vio que los otros que venían sucios y el otro estaba bien vestido, le dijo “váyase”, entonces, lo bajó del carro y le dijo al carro “por seguridad, váyase”; pero la gente del pueblo o los que han estado allá han visto que el policía que lo conocen ahí, de su carro han bajado; entonces, por eso es que van ahí y preguntan “qué ha pasado”, “no, si estaba en el carro del policía”, como que el policía pues, no es así la figura. Entonces, el policía se va de allá a la Comisaría y hace su parte y pone “bueno, he sido testigo presencial de tal hecho...”
El señor CROUSILLAT LÓPEZ TORRES.—	 Y le han hecho (?)
El señor MONTESINOS TORRES.—	 Pero por (?) unos minutos nomás, qué cosa, (?) el Presidente estaba en vuelo a Jauja en ese momento y se conexión al avión y cuando llega a Jauja, el general Indacochea todavía no estaba en Jauja, porque estaba en la Comisaría del Tambo, porque la patrulla lo lleva al fulano a la Comisaria del Tambo, ¿por qué lo lleva a la Comisaría del Tambo?, para esperar a que llegue a una instalación segura que llegue ...
El señor WO.—	 (?)
